detector,config,fwer,se,far@1e-3,far@1e-4
ADWIN,"B=2000, GPD",0.14680851063829786,0.02118714382731216,0.0026879432624113474,0.0004822695035460993
ADWIN,"B=2000, exp",0.16879432624113475,0.02317150847095872,0.002950354609929078,0.0005744680851063831
ADWIN,"B=500, GPD",0.14822695035460992,0.01871282225403165,0.002822695035460993,0.0005106382978723405
ADWIN,"B=500, exp",0.17659574468085107,0.021304701417107986,0.0032340425531914895,0.000624113475177305
KS,"B=2000, GPD",0.04609929078014184,0.015304853705295676,0.0009432624113475177,8.51063829787234e-05
KS,"B=2000, exp",0.04609929078014184,0.015304853705295676,0.000978723404255319,8.51063829787234e-05
KS,"B=500, GPD",0.04893617021276596,0.01796566951182743,0.0011063829787234041,0.00013475177304964539
KS,"B=500, exp",0.058865248226950356,0.018268197921232302,0.001198581560283688,0.00014893617021276596
PH,"B=2000, GPD",0.05602836879432624,0.014905258118115038,0.0012340425531914894,9.219858156028368e-05
PH,"B=2000, exp",0.06382978723404255,0.016417514012252176,0.001269503546099291,0.00011347517730496454
PH,"B=500, GPD",0.07304964539007092,0.017090935151371625,0.001404255319148936,8.51063829787234e-05
PH,"B=500, exp",0.08085106382978724,0.019095874964046886,0.001602836879432624,0.00013475177304964539
