detector,kind,seed,streams,alarmed_share,mean_delay
KS на признаке,none,0,60,0.0,
KS на признаке,virtual,0,60,1.0,348.6166666666667
KS на признаке,real,0,60,0.016666666666666666,2114.0
KS на признаке,both,0,60,1.0,331.3666666666667
KS на признаке,cyclic,0,60,0.0,
PH на признаке (двусторонний),none,0,60,0.0,
PH на признаке (двусторонний),virtual,0,60,1.0,268.6166666666667
PH на признаке (двусторонний),real,0,60,0.0,
PH на признаке (двусторонний),both,0,60,1.0,253.03333333333333
PH на признаке (двусторонний),cyclic,0,60,0.0,
PH на потере,none,0,60,0.016666666666666666,3000.0
PH на потере,virtual,0,60,0.016666666666666666,3256.0
PH на потере,real,0,60,0.26666666666666666,929.1875
PH на потере,both,0,60,0.7333333333333333,579.9090909090909
PH на потере,cyclic,0,60,0.16666666666666666,1167.4
MeanShift(3) на потере,none,0,60,0.016666666666666666,3000.0
MeanShift(3) на потере,virtual,0,60,0.0,
MeanShift(3) на потере,real,0,60,0.2,1203.5833333333333
MeanShift(3) на потере,both,0,60,0.65,789.4102564102565
MeanShift(3) на потере,cyclic,0,60,0.06666666666666667,1526.5
DDM на ошибках 0/1,none,0,60,0.016666666666666666,100.0
DDM на ошибках 0/1,virtual,0,60,0.0,
DDM на ошибках 0/1,real,0,60,0.0,
DDM на ошибках 0/1,both,0,60,0.0,
DDM на ошибках 0/1,cyclic,0,60,0.0,
KS на признаке,none,2,60,0.016666666666666666,3700.0
KS на признаке,virtual,2,60,1.0,344.55
KS на признаке,real,2,60,0.0,
KS на признаке,both,2,60,1.0,352.6333333333333
KS на признаке,cyclic,2,60,0.0,
PH на признаке (двусторонний),none,2,60,0.0,
PH на признаке (двусторонний),virtual,2,60,0.9833333333333333,239.3050847457627
PH на признаке (двусторонний),real,2,60,0.0,
PH на признаке (двусторонний),both,2,60,1.0,265.96666666666664
PH на признаке (двусторонний),cyclic,2,60,0.0,
PH на потере,none,2,60,0.05,2800.0
PH на потере,virtual,2,60,0.0,
PH на потере,real,2,60,0.21666666666666667,946.7692307692307
PH на потере,both,2,60,0.7833333333333333,612.8510638297872
PH на потере,cyclic,2,60,0.25,779.2666666666667
MeanShift(3) на потере,none,2,60,0.03333333333333333,1750.0
MeanShift(3) на потере,virtual,2,60,0.016666666666666666,643.0
MeanShift(3) на потере,real,2,60,0.11666666666666667,1094.142857142857
MeanShift(3) на потере,both,2,60,0.7,759.5238095238095
MeanShift(3) на потере,cyclic,2,60,0.2,1335.0
DDM на ошибках 0/1,none,2,60,0.0,
DDM на ошибках 0/1,virtual,2,60,0.0,
DDM на ошибках 0/1,real,2,60,0.0,
DDM на ошибках 0/1,both,2,60,0.03333333333333333,689.0
DDM на ошибках 0/1,cyclic,2,60,0.0,
KS на признаке,none,1,60,0.016666666666666666,1200.0
KS на признаке,virtual,1,60,1.0,346.35
KS на признаке,real,1,60,0.0,
KS на признаке,both,1,60,1.0,334.3666666666667
KS на признаке,cyclic,1,60,0.0,
PH на признаке (двусторонний),none,1,60,0.016666666666666666,1200.0
PH на признаке (двусторонний),virtual,1,60,1.0,273.01666666666665
PH на признаке (двусторонний),real,1,60,0.0,
PH на признаке (двусторонний),both,1,60,1.0,256.03333333333336
PH на признаке (двусторонний),cyclic,1,60,0.0,
PH на потере,none,1,60,0.0,
PH на потере,virtual,1,60,0.05,1413.6666666666667
PH на потере,real,1,60,0.36666666666666664,1264.3181818181818
PH на потере,both,1,60,0.6333333333333333,801.0263157894736
PH на потере,cyclic,1,60,0.21666666666666667,1200.6153846153845
MeanShift(3) на потере,none,1,60,0.0,
MeanShift(3) на потере,virtual,1,60,0.0,
MeanShift(3) на потере,real,1,60,0.2833333333333333,1082.9411764705883
MeanShift(3) на потере,both,1,60,0.5,785.0
MeanShift(3) на потере,cyclic,1,60,0.08333333333333333,1087.2
DDM на ошибках 0/1,none,1,60,0.016666666666666666,3800.0
DDM на ошибках 0/1,virtual,1,60,0.0,
DDM на ошибках 0/1,real,1,60,0.0,
DDM на ошибках 0/1,both,1,60,0.0,
DDM на ошибках 0/1,cyclic,1,60,0.0,
