case,procedure,alpha,seed,n_tests,n_null_tests,alarms,false_alarms,true_alarms,fdp,window_fdp,far_per_test,power_per_test,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mtfa_stream_steps,n_drifts,detected,mdr,mean_delay,median_delay,degraded_per_drift,mtr
"abrupt, Δ=0.5",uncorrected,1e-05,3,4697,4475,1,0,1,0.0,0.0,0.0,0.0045045045045045045,0.0,0.0,0.0,inf,10,1,0.9,234.0,234.0,2160.9,inf
"abrupt, Δ=0.5",uncorrected,0.0001,3,4697,4475,1,0,1,0.0,0.0,0.0,0.0045045045045045045,0.0,0.0,0.0,inf,10,1,0.9,234.0,234.0,2160.9,inf
"abrupt, Δ=0.5",uncorrected,0.001,3,4685,4534,5,0,5,0.0,0.0,0.0,0.033112582781456956,0.0,0.0,0.0,inf,10,5,0.5,701.0,416.0,1450.9,inf
"abrupt, Δ=0.5",uncorrected,0.01,3,4652,4603,16,6,10,0.375,0.11702127659574468,0.001303497718878992,0.20408163265306123,0.1276595744680851,0.1276595744680851,0.01276595744680851,78333.33333333333,10,10,0.0,430.9,352.5,430.9,181.79005182950414
"abrupt, Δ=0.5",uncorrected,0.05,3,4589,4555,38,28,10,0.7368421052631579,0.3226950354609929,0.006147091108671789,0.29411764705882354,0.5957446808510638,0.3404255319148936,0.059574468085106386,16785.714285714286,10,10,0.0,280.9,251.5,280.9,59.756903829527545
"abrupt, Δ=0.5",uncorrected,0.1,3,4499,4470,68,58,10,0.8529411764705882,0.46859169199594736,0.012975391498881432,0.3448275862068966,1.2340425531914894,0.48936170212765956,0.12340425531914893,8103.448275862069,10,10,0.0,230.9,228.0,230.9,35.09505533071489
"abrupt, Δ=0.5",bonferroni,1e-05,3,4697,4467,1,0,1,0.0,0.0,0.0,0.004347826086956522,0.0,0.0,0.0,inf,10,1,0.9,1034.0,1034.0,2240.9,inf
"abrupt, Δ=0.5",bonferroni,0.0001,3,4697,4467,1,0,1,0.0,0.0,0.0,0.004347826086956522,0.0,0.0,0.0,inf,10,1,0.9,1034.0,1034.0,2240.9,inf
"abrupt, Δ=0.5",bonferroni,0.001,3,4697,4475,1,0,1,0.0,0.0,0.0,0.0045045045045045045,0.0,0.0,0.0,inf,10,1,0.9,234.0,234.0,2160.9,inf
"abrupt, Δ=0.5",bonferroni,0.01,3,4697,4475,1,0,1,0.0,0.0,0.0,0.0045045045045045045,0.0,0.0,0.0,inf,10,1,0.9,234.0,234.0,2160.9,inf
"abrupt, Δ=0.5",bonferroni,0.05,3,4685,4521,5,0,5,0.0,0.0,0.0,0.03048780487804878,0.0,0.0,0.0,inf,10,5,0.5,961.0,424.0,1580.9,inf
"abrupt, Δ=0.5",bonferroni,0.1,3,4685,4534,5,0,5,0.0,0.0,0.0,0.033112582781456956,0.0,0.0,0.0,inf,10,5,0.5,701.0,416.0,1450.9,inf
"abrupt, Δ=0.5",bh_window,1e-05,3,4697,4467,1,0,1,0.0,0.0,0.0,0.004347826086956522,0.0,0.0,0.0,inf,10,1,0.9,1034.0,1034.0,2240.9,inf
"abrupt, Δ=0.5",bh_window,0.0001,3,4697,4467,1,0,1,0.0,0.0,0.0,0.004347826086956522,0.0,0.0,0.0,inf,10,1,0.9,1034.0,1034.0,2240.9,inf
"abrupt, Δ=0.5",bh_window,0.001,3,4697,4475,1,0,1,0.0,0.0,0.0,0.0045045045045045045,0.0,0.0,0.0,inf,10,1,0.9,234.0,234.0,2160.9,inf
"abrupt, Δ=0.5",bh_window,0.01,3,4697,4475,1,0,1,0.0,0.0,0.0,0.0045045045045045045,0.0,0.0,0.0,inf,10,1,0.9,234.0,234.0,2160.9,inf
"abrupt, Δ=0.5",bh_window,0.05,3,4685,4534,5,0,5,0.0,0.0,0.0,0.033112582781456956,0.0,0.0,0.0,inf,10,5,0.5,701.0,416.0,1450.9,inf
"abrupt, Δ=0.5",bh_window,0.1,3,4682,4546,6,0,6,0.0,0.0,0.0,0.04411764705882353,0.0,0.0,0.0,inf,10,6,0.4,640.0,420.0,1300.9,inf
"abrupt, Δ=0.5",LORD++,1e-05,3,4700,4460,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2340.9,
"abrupt, Δ=0.5",LORD++,0.0001,3,4700,4460,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2340.9,
"abrupt, Δ=0.5",LORD++,0.001,3,4700,4460,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2340.9,
"abrupt, Δ=0.5",LORD++,0.01,3,4700,4460,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2340.9,
"abrupt, Δ=0.5",LORD++,0.05,3,4697,4467,1,0,1,0.0,0.0,0.0,0.004347826086956522,0.0,0.0,0.0,inf,10,1,0.9,1034.0,1034.0,2240.9,inf
