case,procedure,alpha,false_alarms_per_1k_stream_steps,degraded_per_drift,mdr,mean_delay,mtr,fdp
"abrupt, Δ=0.5",LORD++,1e-05,0.0,2192.5,1.0,,,0.0
"abrupt, Δ=0.5",LORD++,0.0001,0.0,2192.5,1.0,,,0.0
"abrupt, Δ=0.5",LORD++,0.001,0.0,2174.1666666666665,0.9833333333333334,2394.0,inf,0.0
"abrupt, Δ=0.5",LORD++,0.01,0.0,2147.5,0.9833333333333334,794.0,inf,0.0
"abrupt, Δ=0.5",LORD++,0.05,0.0,1952.5,0.6666666666666666,1201.25,inf,0.0
"abrupt, Δ=0.5",LORD++,0.1,0.0003546099290780142,1939.1666666666667,0.7000000000000001,1133.1190476190477,inf,0.016666666666666666
"abrupt, Δ=0.5",bh_window,1e-05,0.0,2129.1666666666665,0.9500000000000001,1380.3333333333333,inf,0.0
"abrupt, Δ=0.5",bh_window,0.0001,0.0,2017.5,0.85,1065.2,inf,0.0
"abrupt, Δ=0.5",bh_window,0.001,0.0,1709.1666666666667,0.6833333333333332,686.0222222222222,inf,0.0
"abrupt, Δ=0.5",bh_window,0.01,0.0017730496453900709,1190.8333333333333,0.35000000000000003,565.2587962962963,inf,0.07533670033670034
"abrupt, Δ=0.5",bh_window,0.05,0.01099290780141844,740.8333333333334,0.15,460.79338624338624,inf,0.21493783993783996
"abrupt, Δ=0.5",bh_window,0.1,0.02021276595744681,650.8333333333334,0.09999999999999999,484.43888888888887,inf,0.28702200577200576
"abrupt, Δ=0.5",bonferroni,1e-05,0.0,2129.1666666666665,0.9500000000000001,1380.3333333333333,inf,0.0
"abrupt, Δ=0.5",bonferroni,0.0001,0.0,2094.1666666666665,0.9333333333333332,892.5,inf,0.0
"abrupt, Δ=0.5",bonferroni,0.001,0.0,1722.5,0.6833333333333332,718.5222222222222,inf,0.0
"abrupt, Δ=0.5",bonferroni,0.01,0.0007092198581560284,1299.1666666666667,0.39999999999999997,609.0394841269841,inf,0.03935185185185185
"abrupt, Δ=0.5",bonferroni,0.05,0.0035460992907801418,907.5,0.21666666666666667,568.7806878306878,inf,0.11931818181818182
"abrupt, Δ=0.5",bonferroni,0.1,0.006382978723404255,740.8333333333334,0.13333333333333333,537.4666666666667,inf,0.18993221690590112
"abrupt, Δ=0.5",uncorrected,1e-05,0.0,1722.5,0.6833333333333332,718.5222222222222,inf,0.0
"abrupt, Δ=0.5",uncorrected,0.0001,0.0007092198581560284,1299.1666666666667,0.39999999999999997,609.0394841269841,inf,0.03935185185185185
"abrupt, Δ=0.5",uncorrected,0.001,0.006382978723404255,740.8333333333334,0.13333333333333333,537.4666666666667,inf,0.18993221690590112
"abrupt, Δ=0.5",uncorrected,0.01,0.04716312056737589,364.1666666666667,0.0,364.1666666666667,101.47597851881794,0.602948343079922
"abrupt, Δ=0.5",uncorrected,0.05,0.13085106382978726,265.8333333333333,0.016666666666666663,241.94074074074072,38.37038044323295,0.837661852979256
"abrupt, Δ=0.5",uncorrected,0.1,0.2429078014184397,207.5,0.0,207.5,22.865179832492384,0.9097207155253203
"abrupt, Δ=1",LORD++,1e-05,0.0,1824.1666666666667,0.65,1151.975,inf,0.0
"abrupt, Δ=1",LORD++,0.0001,0.0,1389.1666666666667,0.39999999999999997,755.5154761904763,inf,0.0
"abrupt, Δ=1",LORD++,0.001,0.0,754.1666666666666,0.11666666666666668,596.1822751322751,inf,0.0
"abrupt, Δ=1",LORD++,0.01,0.0,477.5,0.033333333333333326,458.5314814814815,inf,0.0
"abrupt, Δ=1",LORD++,0.05,0.0010638297872340426,359.1666666666667,0.0,359.1666666666667,inf,0.04292929292929293
"abrupt, Δ=1",LORD++,0.1,0.003900709219858156,332.5,0.0,332.5,inf,0.1067251461988304
"abrupt, Δ=1",bh_window,1e-05,0.0,1064.1666666666667,0.25,787.1017857142857,inf,0.0
"abrupt, Δ=1",bh_window,0.0001,0.0,620.8333333333334,0.09999999999999999,438.3277777777778,inf,0.0
"abrupt, Δ=1",bh_window,0.001,0.0,339.1666666666667,0.0,339.1666666666667,inf,0.0
"abrupt, Δ=1",bh_window,0.01,0.002127659574468085,244.16666666666666,0.0,244.16666666666666,inf,0.08139083139083139
"abrupt, Δ=1",bh_window,0.05,0.006382978723404255,212.5,0.0,212.5,inf,0.15083527583527584
"abrupt, Δ=1",bh_window,0.1,0.019858156028368795,195.83333333333334,0.0,195.83333333333334,inf,0.29365079365079366
"abrupt, Δ=1",bonferroni,1e-05,0.0,1160.8333333333333,0.3166666666666667,716.8272486772488,inf,0.0
"abrupt, Δ=1",bonferroni,0.0001,0.0,707.5,0.13333333333333333,489.6161375661375,inf,0.0
"abrupt, Δ=1",bonferroni,0.001,0.0,419.1666666666667,0.033333333333333326,354.20416666666665,inf,0.0
"abrupt, Δ=1",bonferroni,0.01,0.0007092198581560284,252.5,0.0,252.5,inf,0.030303030303030304
"abrupt, Δ=1",bonferroni,0.05,0.0035460992907801418,219.16666666666666,0.0,219.16666666666666,inf,0.11611305361305362
"abrupt, Δ=1",bonferroni,0.1,0.006382978723404255,200.83333333333334,0.0,200.83333333333334,inf,0.18437666135034556
"abrupt, Δ=1",uncorrected,1e-05,0.0,420.8333333333333,0.033333333333333326,355.87083333333334,inf,0.0
"abrupt, Δ=1",uncorrected,0.0001,0.0007092198581560284,252.5,0.0,252.5,inf,0.030303030303030304
"abrupt, Δ=1",uncorrected,0.001,0.006382978723404255,200.83333333333334,0.0,200.83333333333334,inf,0.18437666135034556
"abrupt, Δ=1",uncorrected,0.01,0.04680851063829788,152.5,0.0,152.5,264.23134346708383,0.5932858564437512
"abrupt, Δ=1",uncorrected,0.05,0.13156028368794326,134.16666666666666,0.0,134.16666666666666,71.29020591319416,0.8351749869443933
"abrupt, Δ=1",uncorrected,0.1,0.2453900709219858,122.5,0.0,122.5,38.299764930159746,0.9103800891453687
"gradual, Δ=0.5",LORD++,1e-05,0.0,2192.5,1.0,,,0.0
"gradual, Δ=0.5",LORD++,0.0001,0.0,2192.5,1.0,,,0.0
"gradual, Δ=0.5",LORD++,0.001,0.0,2174.1666666666665,0.9833333333333334,2394.0,inf,0.0
"gradual, Δ=0.5",LORD++,0.01,0.0,2147.5,0.9833333333333334,794.0,inf,0.0
"gradual, Δ=0.5",LORD++,0.05,0.0,2005.8333333333333,0.7333333333333334,1320.738888888889,inf,0.0
"gradual, Δ=0.5",LORD++,0.1,0.0,1969.1666666666667,0.7166666666666667,1245.7544642857142,inf,0.0
"gradual, Δ=0.5",bh_window,1e-05,0.0,2129.1666666666665,0.9500000000000001,1380.3333333333333,inf,0.0
"gradual, Δ=0.5",bh_window,0.0001,0.0,2052.5,0.8833333333333333,1186.2,inf,0.0
"gradual, Δ=0.5",bh_window,0.001,0.0,1800.8333333333333,0.65,1255.6944444444443,inf,0.0
"gradual, Δ=0.5",bh_window,0.01,0.0007092198581560284,1460.8333333333333,0.3833333333333333,954.2064814814815,inf,0.03518518518518519
"gradual, Δ=0.5",bh_window,0.05,0.011347517730496455,1067.5,0.16666666666666666,876.2041666666668,inf,0.24758698092031425
"gradual, Δ=0.5",bh_window,0.1,0.02269503546099291,937.5,0.13333333333333333,757.7851851851851,inf,0.3362248862248862
"gradual, Δ=0.5",bonferroni,1e-05,0.0,2129.1666666666665,0.9500000000000001,1380.3333333333333,inf,0.0
"gradual, Δ=0.5",bonferroni,0.0001,0.0,2099.1666666666665,0.9333333333333332,967.5,inf,0.0
