rho,procedure,alpha,seed,n_tests,n_null_tests,alarms,false_alarms,true_alarms,fdp,window_fdp,far_per_test,power_per_test,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mtfa_stream_steps,n_drifts,detected,mdr,mean_delay,median_delay,degraded_per_drift,mtr
0.0,uncorrected,0.05,2,9069,9034,114,94,20,0.8245614035087719,0.7506585612968593,0.010405136152313482,0.5714285714285714,2.0,0.851063829787234,0.1,10000.0,20,20,0.0,120.2,127.5,120.2,83.19467554076539
0.0,bonferroni,0.05,2,9337,9282,21,1,20,0.047619047619047616,0.02127659574468085,0.00010773540185304891,0.36363636363636365,0.02127659574468085,0.02127659574468085,0.0010638297872340426,940000.0,20,20,0.0,220.2,215.5,220.2,4268.846503178928
0.0,bh_window,0.05,2,9337,9286,21,1,20,0.047619047619047616,0.02127659574468085,0.00010768899418479432,0.39215686274509803,0.02127659574468085,0.02127659574468085,0.0010638297872340426,940000.0,20,20,0.0,200.2,206.5,200.2,4695.304695304696
0.0,e_bh,0.05,2,9367,9113,12,0,12,0.0,0.0,0.0,0.047244094488188976,0.0,0.0,0.0,inf,20,12,0.4,652.0833333333334,500.5,1215.2,inf
0.0,uncorrected,0.05,3,9033,8998,127,107,20,0.84251968503937,0.7680851063829788,0.011891531451433651,0.5714285714285714,2.276595744680851,0.8936170212765957,0.11382978723404255,8785.046728971962,20,20,0.0,130.5,131.5,130.5,67.31836573924875
0.0,bonferroni,0.05,3,9337,9276,21,1,20,0.047619047619047616,0.010638297872340425,0.00010780508840017249,0.32786885245901637,0.02127659574468085,0.02127659574468085,0.0010638297872340426,940000.0,20,20,0.0,255.5,242.5,255.5,3679.0606653620353
0.0,bh_window,0.05,3,9334,9275,22,2,20,0.09090909090909091,0.02127659574468085,0.00021563342318059299,0.3389830508474576,0.0425531914893617,0.02127659574468085,0.002127659574468085,470000.0,20,20,0.0,245.5,225.0,245.5,1914.460285132383
0.0,e_bh,0.05,3,9364,9040,12,0,12,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,inf,20,12,0.4,770.9166666666666,592.5,1570.5,inf
0.0,uncorrected,0.05,0,9035,9003,124,104,20,0.8387096774193549,0.72677304964539,0.01155170498722648,0.625,2.2127659574468086,0.8297872340425532,0.11063829787234042,9038.461538461539,20,20,0.0,121.05,124.5,121.05,74.66717503892225
0.0,bonferroni,0.05,0,9337,9285,21,1,20,0.047619047619047616,0.02127659574468085,0.00010770059235325795,0.38461538461538464,0.02127659574468085,0.02127659574468085,0.0010638297872340426,940000.0,20,20,0.0,221.05,224.5,221.05,4252.431576566388
0.0,bh_window,0.05,0,9334,9285,22,2,20,0.09090909090909091,0.015957446808510637,0.0002154011847065159,0.40816326530612246,0.0425531914893617,0.0425531914893617,0.002127659574468085,470000.0,20,20,0.0,206.05,208.0,206.05,2280.999757340451
0.0,e_bh,0.05,0,9367,9071,11,0,11,0.0,0.0,0.0,0.037162162162162164,0.0,0.0,0.0,inf,20,11,0.44999999999999996,600.1818181818181,490.0,1441.05,inf
0.0,uncorrected,0.05,1,8990,8955,138,118,20,0.855072463768116,0.7524822695035461,0.013176996091568955,0.5714285714285714,2.5106382978723403,0.8723404255319149,0.125531914893617,7966.1016949152545,20,20,0.0,136.9,145.0,136.9,58.18920156987037
0.0,bonferroni,0.05,1,9334,9275,22,2,20,0.09090909090909091,0.0425531914893617,0.00021563342318059299,0.3389830508474576,0.0425531914893617,0.0425531914893617,0.002127659574468085,470000.0,20,20,0.0,256.9,249.0,256.9,1829.5056442195407
0.0,bh_window,0.05,1,9328,9272,24,4,20,0.16666666666666666,0.05390070921985815,0.0004314063848144953,0.35714285714285715,0.0851063829787234,0.0851063829787234,0.00425531914893617,235000.0,20,20,0.0,241.9,226.5,241.9,971.4758164530798
0.0,e_bh,0.05,1,9364,9051,12,0,12,0.0,0.0,0.0,0.038338658146964855,0.0,0.0,0.0,inf,20,12,0.4,1126.0,778.0,1526.9,inf
0.0,uncorrected,0.05,4,9023,8989,129,109,20,0.8449612403100775,0.7482269503546101,0.012125931694293025,0.5882352941176471,2.3191489361702127,0.851063829787234,0.11595744680851064,8623.853211009175,20,20,0.0,141.65,145.5,141.65,60.88142048012124
0.0,bonferroni,0.05,4,9340,9283,20,0,20,0.0,0.0,0.0,0.3508771929824561,0.0,0.0,0.0,inf,20,20,0.0,246.65,252.0,246.65,inf
