data,detector,rule,alarms_per_model_10k,fdp,power_per_test
INSECTS,PH,raw,0.40121970791205264,0.5,0.10050505050505051
INSECTS,PH,uncorrected,0.2026159524955866,0.00980392156862745,0.10060525090585211
INSECTS,PH,bonferroni,0.20060985395602632,0.0,0.09980198966521513
INSECTS,PH,bh_window,0.20060985395602632,0.0,0.10050505050505051
INSECTS,MeanShift(3),uncorrected,0.2026159524955866,0.00980392156862745,0.0837530337677642
INSECTS,MeanShift(3),bonferroni,0.20060985395602632,0.0,0.08368347338935575
INSECTS,MeanShift(3),bh_window,0.20060985395602632,0.0,0.08368347338935575
Electricity,PH,raw,1.8158364754911689,0.5621836532989907,0.13230026230941583
Electricity,PH,uncorrected,0.7888469934510816,0.33513106237855417,0.05844427228491031
Electricity,PH,bonferroni,0.4142687041079579,0.294683908045977,0.0098983432498078
Electricity,PH,bh_window,0.49364953363762654,0.27240088996763756,0.024832289526449985
Electricity,MeanShift(3),uncorrected,0.42915260964477076,0.07564995979630126,0.05695608371113248
Electricity,MeanShift(3),bonferroni,0.2505457432030165,0.2672684458398744,0.009152899866738787
Electricity,MeanShift(3),bh_window,0.32248461996427863,0.0,0.02589073055843316
Airlines,PH,raw,0.16842105263157894,0.26297686053783614,0.015011148843268693
Airlines,PH,uncorrected,0.23473684210526316,0.3663034705407587,0.03330670613547633
Airlines,PH,bonferroni,0.05157894736842106,0.3324372759856631,0.002160452005821735
Airlines,PH,bh_window,0.17789473684210527,0.30952380952380953,0.013903311266430777
Airlines,MeanShift(3),uncorrected,0.2463157894736842,0.3531524926686217,0.0422566563430814
Airlines,MeanShift(3),bonferroni,0.05473684210526315,0.3482142857142857,0.002485201269005717
Airlines,MeanShift(3),bh_window,0.17894736842105263,0.31887472283813745,0.017434852251300016
Covertype,PH,raw,1.3421052631578947,0.7513744561823876,0.12832861681626417
Covertype,PH,uncorrected,0.47789473684210526,0.5027712724434036,0.04640490984159911
Covertype,PH,bonferroni,0.18315789473684213,0.29294397463002114,0.018828351711860203
Covertype,PH,bh_window,0.20421052631578948,0.2980329611908559,0.023727522655095295
Covertype,MeanShift(3),uncorrected,0.2326315789473684,0.2352170352170352,0.12326348987461375
Covertype,MeanShift(3),bonferroni,0.17578947368421052,0.14974182444061962,0.05404163849740842
Covertype,MeanShift(3),bh_window,0.19473684210526315,0.2092696629213483,0.0738154389291143
