detector,procedure,seed,alarms,false_alarms,fdp,power_per_test
PH,uncorrected,1,43,7,0.16279069767441862,0.05787781350482315
PH,bonferroni,1,6,0,0.0,0.006772009029345372
PH,bh_window,1,15,0,0.0,0.019230769230769232
MeanShift(1),uncorrected,1,42,0,0.0,0.12103746397694524
MeanShift(1),bonferroni,1,14,0,0.0,0.018617021276595744
MeanShift(1),bh_window,1,38,0,0.0,0.09382716049382717
MeanShift(2),uncorrected,1,49,5,0.10204081632653061,0.0990990990990991
MeanShift(2),bonferroni,1,28,0,0.0,0.03943661971830986
MeanShift(2),bh_window,1,39,2,0.05128205128205128,0.08043478260869565
PH,uncorrected,2,40,5,0.125,0.04563233376792699
PH,bonferroni,2,6,0,0.0,0.006191950464396285
PH,bh_window,2,22,0,0.0,0.023206751054852322
MeanShift(1),uncorrected,2,46,0,0.0,0.11471321695760599
MeanShift(1),bonferroni,2,18,0,0.0,0.021505376344086023
MeanShift(1),bh_window,2,43,0,0.0,0.09641255605381166
MeanShift(2),uncorrected,2,48,3,0.0625,0.08287292817679558
MeanShift(2),bonferroni,2,28,0,0.0,0.035623409669211195
MeanShift(2),bh_window,2,45,2,0.044444444444444446,0.07846715328467153
PH,uncorrected,0,52,8,0.15384615384615385,0.06832298136645963
PH,bonferroni,0,5,0,0.0,0.005030181086519115
PH,bh_window,0,28,0,0.0,0.03679369250985545
MeanShift(1),uncorrected,0,47,0,0.0,0.1284153005464481
MeanShift(1),bonferroni,0,25,0,0.0,0.03132832080200501
MeanShift(1),bh_window,0,44,0,0.0,0.1073170731707317
MeanShift(2),uncorrected,0,48,1,0.020833333333333332,0.10085836909871244
MeanShift(2),bonferroni,0,34,0,0.0,0.04353393085787452
MeanShift(2),bh_window,0,44,1,0.022727272727272728,0.08739837398373984
