scenario,rho,method,false_alarms,fdp,p_any_false_alarm_per_window,max_burst,degraded_per_drift,fleet_true,fleet_false
без дрейфа,0.3,сырые ряды,0.9,0.4,0.014893617021276595,0.6,,0.0,0.0
без дрейфа,0.3,остатки,1.0,0.8,0.02127659574468085,0.8,,0.0,0.0
без дрейфа,0.3,остатки + тест парка,1.0,0.8,0.02127659574468085,0.8,,0.0,0.1
без дрейфа,0.6,сырые ряды,1.4,0.3,0.01702127659574468,0.7,,0.0,0.0
без дрейфа,0.6,остатки,0.9,0.8,0.019148936170212766,0.8,,0.0,0.0
без дрейфа,0.6,остатки + тест парка,0.9,0.8,0.019148936170212766,0.8,,0.0,0.1
"событие, 20% моделей",0.3,сырые ряды,1.0,0.022210690192008303,0.014893617021276595,0.6,239.05,0.0,0.0
"событие, 20% моделей",0.3,остатки,0.6,0.014518002322880372,0.01276595744680851,0.5,258.8,0.0,0.0
"событие, 20% моделей",0.3,остатки + тест парка,0.6,0.014518002322880372,0.01276595744680851,0.5,248.55,0.0,0.2
"событие, 20% моделей",0.6,сырые ряды,2.0,0.03519764507989907,0.02127659574468085,0.6,243.55,0.0,0.0
"событие, 20% моделей",0.6,остатки,0.7,0.016957026713124275,0.014893617021276595,0.6,190.3,0.0,0.0
"событие, 20% моделей",0.6,остатки + тест парка,0.7,0.016957026713124275,0.014893617021276595,0.6,185.3,0.0,0.2
"событие, все модели",0.3,сырые ряды,0.4,0.0019753449501262164,0.00851063829787234,0.2,236.0,0.0,0.0
"событие, все модели",0.3,остатки,0.1,0.05,0.002127659574468085,0.1,2187.75,0.0,0.0
"событие, все модели",0.3,остатки + тест парка,0.1,0.05,0.002127659574468085,0.1,130.9,1.0,0.0
"событие, все модели",0.6,сырые ряды,0.1,0.0004975124378109452,0.002127659574468085,0.1,236.45,0.0,0.0
"событие, все модели",0.6,остатки,0.2,0.08333333333333333,0.00425531914893617,0.2,2184.3,0.0,0.0
"событие, все модели",0.6,остатки + тест парка,0.2,0.08333333333333333,0.00425531914893617,0.2,190.9,1.0,0.0
