scenario,rho,seed,method,false_alarms,fdp,p_any_false_alarm_per_window,max_burst,degraded_per_drift,fleet_true,fleet_false
без дрейфа,0.3,2,сырые ряды,0,0.0,0.0,0,,0,0
без дрейфа,0.3,2,остатки,2,1.0,0.0425531914893617,1,,0,0
без дрейфа,0.3,2,остатки + тест парка,2,1.0,0.0425531914893617,1,,0,0
без дрейфа,0.3,0,сырые ряды,0,0.0,0.0,0,,0,0
без дрейфа,0.3,0,остатки,1,1.0,0.02127659574468085,1,,0,0
без дрейфа,0.3,0,остатки + тест парка,1,1.0,0.02127659574468085,1,,0,0
без дрейфа,0.3,3,сырые ряды,1,1.0,0.02127659574468085,1,,0,0
без дрейфа,0.3,3,остатки,0,0.0,0.0,0,,0,0
без дрейфа,0.3,3,остатки + тест парка,0,0.0,0.0,0,,0,0
без дрейфа,0.3,1,сырые ряды,5,1.0,0.06382978723404255,3,,0,0
без дрейфа,0.3,1,остатки,1,1.0,0.02127659574468085,1,,0,0
без дрейфа,0.3,1,остатки + тест парка,1,1.0,0.02127659574468085,1,,0,1
без дрейфа,0.3,4,сырые ряды,0,0.0,0.0,0,,0,0
без дрейфа,0.3,4,остатки,1,1.0,0.02127659574468085,1,,0,0
без дрейфа,0.3,4,остатки + тест парка,1,1.0,0.02127659574468085,1,,0,0
без дрейфа,0.3,6,сырые ряды,0,0.0,0.0,0,,0,0
без дрейфа,0.3,6,остатки,2,1.0,0.0425531914893617,1,,0,0
без дрейфа,0.3,6,остатки + тест парка,2,1.0,0.0425531914893617,1,,0,0
без дрейфа,0.3,7,сырые ряды,2,1.0,0.0425531914893617,1,,0,0
без дрейфа,0.3,7,остатки,0,0.0,0.0,0,,0,0
без дрейфа,0.3,7,остатки + тест парка,0,0.0,0.0,0,,0,0
без дрейфа,0.3,5,сырые ряды,0,0.0,0.0,0,,0,0
без дрейфа,0.3,5,остатки,1,1.0,0.02127659574468085,1,,0,0
без дрейфа,0.3,5,остатки + тест парка,1,1.0,0.02127659574468085,1,,0,0
без дрейфа,0.3,8,сырые ряды,1,1.0,0.02127659574468085,1,,0,0
без дрейфа,0.3,8,остатки,1,1.0,0.02127659574468085,1,,0,0
без дрейфа,0.3,8,остатки + тест парка,1,1.0,0.02127659574468085,1,,0,0
без дрейфа,0.6,0,сырые ряды,0,0.0,0.0,0,,0,0
без дрейфа,0.6,0,остатки,1,1.0,0.02127659574468085,1,,0,0
без дрейфа,0.6,0,остатки + тест парка,1,1.0,0.02127659574468085,1,,0,0
без дрейфа,0.3,9,сырые ряды,0,0.0,0.0,0,,0,0
без дрейфа,0.3,9,остатки,1,1.0,0.02127659574468085,1,,0,0
без дрейфа,0.3,9,остатки + тест парка,1,1.0,0.02127659574468085,1,,0,0
без дрейфа,0.6,1,сырые ряды,10,1.0,0.10638297872340426,4,,0,0
без дрейфа,0.6,1,остатки,1,1.0,0.02127659574468085,1,,0,0
без дрейфа,0.6,1,остатки + тест парка,1,1.0,0.02127659574468085,1,,0,1
без дрейфа,0.6,3,сырые ряды,0,0.0,0.0,0,,0,0
без дрейфа,0.6,3,остатки,0,0.0,0.0,0,,0,0
без дрейфа,0.6,3,остатки + тест парка,0,0.0,0.0,0,,0,0
без дрейфа,0.6,2,сырые ряды,2,1.0,0.0425531914893617,1,,0,0
без дрейфа,0.6,2,остатки,2,1.0,0.0425531914893617,1,,0,0
без дрейфа,0.6,2,остатки + тест парка,2,1.0,0.0425531914893617,1,,0,0
без дрейфа,0.6,4,сырые ряды,0,0.0,0.0,0,,0,0
без дрейфа,0.6,4,остатки,1,1.0,0.02127659574468085,1,,0,0
без дрейфа,0.6,4,остатки + тест парка,1,1.0,0.02127659574468085,1,,0,0
без дрейфа,0.6,5,сырые ряды,0,0.0,0.0,0,,0,0
без дрейфа,0.6,5,остатки,1,1.0,0.02127659574468085,1,,0,0
без дрейфа,0.6,5,остатки + тест парка,1,1.0,0.02127659574468085,1,,0,0
без дрейфа,0.6,6,сырые ряды,0,0.0,0.0,0,,0,0
без дрейфа,0.6,6,остатки,1,1.0,0.02127659574468085,1,,0,0
без дрейфа,0.6,6,остатки + тест парка,1,1.0,0.02127659574468085,1,,0,0
без дрейфа,0.6,7,сырые ряды,2,1.0,0.02127659574468085,2,,0,0
без дрейфа,0.6,7,остатки,0,0.0,0.0,0,,0,0
без дрейфа,0.6,7,остатки + тест парка,0,0.0,0.0,0,,0,0
без дрейфа,0.6,8,сырые ряды,0,0.0,0.0,0,,0,0
без дрейфа,0.6,8,остатки,1,1.0,0.02127659574468085,1,,0,0
без дрейфа,0.6,8,остатки + тест парка,1,1.0,0.02127659574468085,1,,0,0
без дрейфа,0.6,9,сырые ряды,0,0.0,0.0,0,,0,0
без дрейфа,0.6,9,остатки,1,1.0,0.02127659574468085,1,,0,0
без дрейфа,0.6,9,остатки + тест парка,1,1.0,0.02127659574468085,1,,0,0
"событие, 20% моделей",0.3,0,сырые ряды,0,0.0,0.0,0,271.0,0,0
"событие, 20% моделей",0.3,0,остатки,0,0.0,0.0,0,303.5,0,0
"событие, 20% моделей",0.3,0,остатки + тест парка,0,0.0,0.0,0,303.5,0,0
"событие, 20% моделей",0.3,2,сырые ряды,0,0.0,0.0,0,205.0,0,0
"событие, 20% моделей",0.3,2,остатки,0,0.0,0.0,0,255.0,0,0
"событие, 20% моделей",0.3,2,остатки + тест парка,0,0.0,0.0,0,255.0,0,0
"событие, 20% моделей",0.3,1,сырые ряды,7,0.14893617021276595,0.0851063829787234,3,172.5,0,0
"событие, 20% моделей",0.3,1,остатки,0,0.0,0.0,0,247.5,0,0
"событие, 20% моделей",0.3,1,остатки + тест парка,0,0.0,0.0,0,142.5,0,1
"событие, 20% моделей",0.3,3,сырые ряды,1,0.024390243902439025,0.02127659574468085,1,259.0,0,0
"событие, 20% моделей",0.3,3,остатки,1,0.024390243902439025,0.02127659574468085,1,269.0,0,0
"событие, 20% моделей",0.3,3,остатки + тест парка,1,0.024390243902439025,0.02127659574468085,1,269.0,0,0
"событие, 20% моделей",0.3,4,сырые ряды,0,0.0,0.0,0,263.0,0,0
"событие, 20% моделей",0.3,4,остатки,0,0.0,0.0,0,235.5,0,0
"событие, 20% моделей",0.3,4,остатки + тест парка,0,0.0,0.0,0,235.5,0,0
"событие, 20% моделей",0.3,5,сырые ряды,0,0.0,0.0,0,229.0,0,0
"событие, 20% моделей",0.3,5,остатки,1,0.024390243902439025,0.02127659574468085,1,254.0,0,0
"событие, 20% моделей",0.3,5,остатки + тест парка,1,0.024390243902439025,0.02127659574468085,1,254.0,0,0
"событие, 20% моделей",0.3,6,сырые ряды,0,0.0,0.0,0,276.0,0,0
"событие, 20% моделей",0.3,6,остатки,1,0.024390243902439025,0.02127659574468085,1,258.5,0,0
"событие, 20% моделей",0.3,6,остатки + тест парка,1,0.024390243902439025,0.02127659574468085,1,261.0,0,0
"событие, 20% моделей",0.3,7,сырые ряды,0,0.0,0.0,0,216.5,0,0
"событие, 20% моделей",0.3,7,остатки,0,0.0,0.0,0,264.0,0,0
"событие, 20% моделей",0.3,7,остатки + тест парка,0,0.0,0.0,0,264.0,0,1
"событие, 20% моделей",0.3,8,сырые ряды,1,0.024390243902439025,0.02127659574468085,1,233.5,0,0
"событие, 20% моделей",0.3,8,остатки,2,0.047619047619047616,0.0425531914893617,1,246.0,0,0
"событие, 20% моделей",0.3,8,остатки + тест парка,2,0.047619047619047616,0.0425531914893617,1,246.0,0,0
"событие, 20% моделей",0.3,9,сырые ряды,1,0.024390243902439025,0.02127659574468085,1,265.0,0,0
"событие, 20% моделей",0.3,9,остатки,1,0.024390243902439025,0.02127659574468085,1,255.0,0,0
