detector,calibration,calibration_s,update_us_per_step
PH,"B = 2000, GPD (по умолчанию)",0.07436057499944582,0.9010138001031008
PH,"B = 500, экспонента",0.01318187000015314,0.8511251999152591
KS,"B = 2000, GPD (по умолчанию)",0.47455944399916916,3.463351699974737
KS,"B = 500, экспонента",0.10790090650061757,3.5585693000030005
ADWIN,"B = 2000, GPD (по умолчанию)",0.6800132065000071,8.13316469975689
ADWIN,"B = 500, экспонента",0.11227379950014438,8.312797300095555
MeanShift(1),"B = 2000, GPD (по умолчанию)",0.03254212799947709,0.6813920999775291
MeanShift(1),"B = 500, экспонента",0.005235111999354558,0.6631334998019156
MeanShift(3),"B = 2000, GPD (по умолчанию)",0.04045623749971128,0.7071481000821223
MeanShift(3),"B = 500, экспонента",0.005487261501002649,0.5958245001238538
river PageHinkley,нет,0.0,0.6621679599993513
river ADWIN,нет,0.0,0.1241382700027316
