phi,detector,resampling,n_tests,raw_far,far@0.1,far@0.05,far@0.01,far@0.001
0.0,ADWIN,iid,20000,5e-05,0.10765,0.05295,0.01165,0.00095
0.0,ADWIN,moving,20000,5e-05,0.09785,0.04895,0.01065,0.00075
0.0,ADWIN,sieve,20000,5e-05,0.12045,0.0662,0.0195,0.00495
0.0,DDM,iid,20000,0.10785,0.09035,0.04445,0.01175,0.0025
0.0,DDM,moving,20000,0.10785,0.08785,0.04185,0.00945,0.0009
0.0,KS,iid,20000,0.0035,0.11055,0.0554,0.0112,0.0007
0.0,KS,moving,20000,0.0035,0.10735,0.05265,0.01115,0.0007
0.0,KS,sieve,20000,0.0035,0.1108,0.0558,0.01205,0.0007
0.0,PH,iid,20000,0.08015,0.11,0.05625,0.01135,0.00055
0.0,PH,moving,20000,0.08015,0.1051,0.05325,0.0107,0.00045
0.0,PH,sieve,20000,0.08015,0.1198,0.06345,0.01415,0.0014
0.5,ADWIN,iid,20000,0.136,0.84775,0.7466,0.51355,0.25625
0.5,ADWIN,moving,20000,0.136,0.19695,0.1204,0.0396,0.00685
0.5,ADWIN,sieve,20000,0.136,0.13095,0.0779,0.0238,0.00525
0.5,DDM,iid,20000,0.3598,0.32325,0.19525,0.0676,0.02665
0.5,DDM,moving,20000,0.3598,0.1231,0.0568,0.01255,0.0049
0.5,KS,iid,20000,0.0373,0.33765,0.24395,0.11565,0.0323
0.5,KS,moving,20000,0.0373,0.14465,0.08145,0.02405,0.0024
0.5,KS,sieve,20000,0.0373,0.11435,0.06125,0.01655,0.00205
0.5,PH,iid,20000,0.3478,0.4055,0.308,0.16125,0.05115
0.5,PH,moving,20000,0.3478,0.14445,0.0795,0.02395,0.00265
0.5,PH,sieve,20000,0.3478,0.1157,0.06245,0.01515,0.0013
0.8,ADWIN,iid,20000,0.8252,0.9985,0.996,0.97915,0.91
0.8,ADWIN,moving,20000,0.8252,0.2772,0.1818,0.07205,0.0208
0.8,ADWIN,sieve,20000,0.8252,0.163,0.0976,0.03175,0.00765
0.8,DDM,iid,20000,0.646,0.6189,0.4979,0.29145,0.1801
0.8,DDM,moving,20000,0.646,0.10135,0.02895,0.00615,0.00505
0.8,KS,iid,20000,0.2186,0.63615,0.551,0.39715,0.22045
0.8,KS,moving,20000,0.2186,0.1755,0.1057,0.03565,0.00535
0.8,KS,sieve,20000,0.2186,0.12655,0.07155,0.01985,0.0028
0.8,PH,iid,20000,0.5979,0.6488,0.5764,0.4425,0.27705
0.8,PH,moving,20000,0.5979,0.17605,0.1082,0.03805,0.00535
0.8,PH,sieve,20000,0.5979,0.13145,0.07385,0.01895,0.0021
