source,data,spearman,dispersion,null_share,windows
real,Airlines,0.8783007180228997,15.726614885677275,0.8156595744680851,384.5
real,Covertype,0.3982430059452648,8.132621931219758,0.8159574468085107,815.5
real,Electricity,0.6527543262219548,17.542781650415982,0.31544529262086507,12.5
real,INSECTS,0.7133812608459358,25.394230725176985,0.26426229508196714,127.0
residuals,Airlines,0.23847015756294893,6.422456073730934,0.8156595744680851,384.5
residuals,Covertype,0.16605883745762015,2.7831446180149433,0.8159574468085107,815.5
residuals,Electricity,0.32908333882127383,13.085098965362125,0.31544529262086507,12.5
residuals,INSECTS,0.19174635801792567,4.4693754941091886,0.26426229508196714,127.0
synthetic,"синтетика, ρ = 0.0",0.00028117617969280003,0.9125475913960057,1.0,300.0
synthetic,"синтетика, ρ = 0.3",0.2902302438484077,5.505470917299164,1.0,300.0
synthetic,"синтетика, ρ = 0.6",0.5847321235959062,13.604894515475909,1.0,300.0
synthetic,"синтетика, ρ = 0.9",0.8909318724201374,30.135819744763282,1.0,300.0
