detector,view,rule,false_alarms_per_1k_stream_steps,p_any_false_alarm_per_window,fdp,precision,recall,f1,mean_delay,degraded_per_drift
MeanShift(3),остатки,bh_window,0.0016382978723404257,0.01553191489361702,0.09810742035742036,0.8541479844510148,0.8947916666666668,0.8837008385066459,507.43351934523804,580.2010416666667
PH,остатки,bh_window,0.0014680851063829786,0.013404255319148937,0.08886560661560662,0.8527137565016353,0.8864583333333332,0.8773663427258082,460.4986979166667,550.8260416666667
MeanShift(3),остатки,bonferroni,0.0012127659574468084,0.012127659574468087,0.08218362193362193,0.8494880260031775,0.865625,0.8665115281891597,552.9018063822751,635.3052083333333
PH,остатки,bonferroni,0.0010638297872340426,0.010638297872340425,0.074259324009324,0.853507351234624,0.8562500000000001,0.8617341846144301,499.4694981812169,612.4927083333333
KS,остатки,bonferroni,0.003191489361702128,0.03127659574468085,0.15196586746586746,0.7850464630767661,0.8562500000000001,0.8227153654453973,554.4462756283068,676.8677083333333
KS,остатки,bh_window,0.00502127659574468,0.042340425531914895,0.21364446664446665,0.7365601850450335,0.8770833333333333,0.8065279634005237,526.5792948082011,624.4718750000001
MeanShift(1),остатки,bonferroni,0.0033829787234042554,0.03340425531914894,0.1793326950826951,0.7417292429792429,0.8177083333333334,0.7870189800748674,453.11586888227515,612.0760416666666
MeanShift(1),остатки,bh_window,0.004468085106382979,0.03957446808510638,0.209025197025197,0.7204111721611721,0.8395833333333332,0.785194946580711,415.89697007275134,560.9302083333333
PH,сырые,bonferroni,0.0014893617021276594,0.01297872340425532,0.0576376548288313,0.8195622059399149,0.7697916666666668,0.7750292675833981,574.8128237259816,772.7010416666667
PH,сырые,bh_window,0.0075106382978723405,0.01829787234042553,0.13358069036938372,0.7686254423616755,0.8322916666666668,0.7703339672122791,534.4966040100251,657.5968750000001
MeanShift(3),сырые,bonferroni,0.0019361702127659575,0.016595744680851062,0.08720637695637695,0.773109934047434,0.7687499999999999,0.7616708113266785,629.2562698412698,772.4927083333333
KS,сырые,bonferroni,0.002297872340425532,0.019148936170212766,0.09442526917526918,0.7728008681133681,0.765625,0.7611668469265176,643.9679114452798,806.2427083333333
MeanShift(3),сырые,bh_window,0.007127659574468085,0.01978723404255319,0.14131248672802843,0.7391534020937295,0.8125,0.7542938992029796,585.6310025062656,671.4510416666667
KS,сырые,bh_window,0.008404255319148936,0.024468085106382976,0.17196850996790022,0.7190752035810472,0.803125,0.7449756573754972,614.5991195436508,723.4302083333333
MeanShift(1),сырые,bonferroni,0.004212765957446809,0.03297872340425532,0.16289525180701653,0.7054887650475886,0.7427083333333333,0.7087475786208722,555.7748036758563,757.3885416666667
ADWIN,остатки,bonferroni,0.0145531914893617,0.13680851063829785,0.4353883175864533,0.5273775868972564,0.8854166666666666,0.6725236742855142,398.27076306216935,505.6177083333334
ADWIN,сырые,bonferroni,0.012468085106382977,0.09595744680851065,0.38066257480257426,0.5478805727266814,0.8052083333333333,0.6540561366459654,495.9442956349206,627.0760416666667
MeanShift(1),сырые,bh_window,0.023914893617021277,0.04297872340425532,0.3167581504061015,0.5790531382850809,0.8145833333333333,0.6414434051701475,517.9330439814815,618.7427083333333
ADWIN,остатки,bh_window,0.01876595744680851,0.14936170212765956,0.4903370193459741,0.47894808148233914,0.9093749999999999,0.6391148570693223,375.29164599867727,457.0760416666667
ADWIN,сырые,LORD++,0.002361702127659574,0.014893617021276595,0.0959183547933548,0.7756520579691312,0.6458333333333334,0.6347973905485756,575.6624681559866,991.3468750000001
ADWIN,сырые,bh_window,0.02831914893617021,0.09808510638297871,0.47048607253790997,0.471590930953549,0.8312499999999999,0.5906304538066859,474.25469163359793,575.3052083333333
KS,сырые,LORD++,0.00014893617021276596,0.0014893617021276594,0.0069740259740259745,0.7598532594856124,0.5166666666666667,0.5218284997309764,825.3126517273577,1298.221875
PH,сырые,LORD++,0.00010638297872340425,0.0010638297872340426,0.004747474747474748,0.8429027113237639,0.471875,0.47871058035531716,656.1480019493177,1345.8260416666667
MeanShift(3),сырые,LORD++,0.0001276595744680851,0.0010638297872340426,0.0053030303030303025,0.8731013842124953,0.4708333333333334,0.4735935300080037,642.3955761316872,1373.534375
MeanShift(1),сырые,LORD++,0.00017021276595744682,0.0014893617021276594,0.006853146853146853,0.7713651083216301,0.3520833333333333,0.3559314446197775,686.0348861283644,1528.4302083333332
PH,сырые,uncorrected,0.10002127659574468,0.42021276595744683,0.7580134423919591,0.20210449119662482,0.9864583333333333,0.33279549909233613,310.00347222222223,318.534375
MeanShift(3),сырые,uncorrected,0.14038297872340424,0.5134042553191489,0.8241473428170432,0.1534113250064618,0.9864583333333333,0.2620639134807226,371.3321759259259,386.5552083333334
KS,сырые,uncorrected,0.13517021276595745,0.6014893617021276,0.8445462894497128,0.14178249483855038,0.9864583333333333,0.2524193063516999,380.3497685185185,384.9927083333334
MeanShift(1),сырые,uncorrected,0.26270212765957446,0.6442553191489361,0.8966686035828119,0.07954469626437048,0.9895833333333334,0.14940833755232916,251.0238425925926,257.4927083333333
ADWIN,сырые,uncorrected,0.27561702127659576,0.8059574468085107,0.915240118915331,0.07000707407187981,0.9718749999999999,0.13511244320993174,290.30014467592594,315.721875
PH river по умолчанию,сырые,порог,0.7340212765957448,0.8908510638297872,0.9595590001006454,0.027530303350228907,0.9979166666666667,0.05566147916711616,207.7258101851852,210.93020833333333
