case,seed,drift_type,magnitude,rho,pattern,detector,view,rule,false_alarms_per_1k_stream_steps,p_any_false_alarm_per_window,fdp,precision,recall,f1,mean_delay,degraded_per_drift
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,PH,сырые,uncorrected,0.11702127659574468,0.6595744680851063,0.8461538461538461,0.15384615384615385,1.0,0.2666666666666667,204.6,204.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,PH,сырые,bonferroni,0.002127659574468085,0.02127659574468085,0.125,0.875,0.7,0.7777777777777777,550.0,734.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,PH,сырые,bh_window,0.00425531914893617,0.0425531914893617,0.2222222222222222,0.7777777777777778,0.7,0.7368421052631577,507.14285714285717,704.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,PH,сырые,LORD++,0.0,0.0,0.0,,0.0,0.0,,2104.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,PH,остатки,bonferroni,0.0,0.0,0.0,0.8571428571428571,0.6,0.7058823529411764,621.4285714285714,784.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,PH,остатки,bh_window,0.0,0.0,0.0,1.0,0.7,0.8235294117647058,521.4285714285714,714.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,KS,сырые,uncorrected,0.14680851063829786,0.723404255319149,0.8734177215189873,0.12658227848101267,1.0,0.22471910112359553,264.6,264.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,KS,сырые,bonferroni,0.0,0.0,0.0,1.0,0.6,0.7499999999999999,448.6666666666667,924.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,KS,сырые,bh_window,0.002127659574468085,0.02127659574468085,0.125,0.75,0.6,0.6666666666666665,535.7142857142857,724.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,KS,сырые,LORD++,0.0,0.0,0.0,,0.0,0.0,,2104.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,KS,остатки,bonferroni,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,559.6,1184.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,KS,остатки,bh_window,0.006382978723404255,0.0425531914893617,0.3333333333333333,0.6666666666666666,0.6,0.631578947368421,479.3333333333333,1074.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,ADWIN,сырые,uncorrected,0.2531914893617021,0.8936170212765957,0.9224806201550387,0.07751937984496124,1.0,0.14388489208633096,144.6,144.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,ADWIN,сырые,bonferroni,0.00851063829787234,0.0851063829787234,0.3333333333333333,0.5,0.6,0.5454545454545454,474.5,814.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,ADWIN,сырые,bh_window,0.00851063829787234,0.0851063829787234,0.2857142857142857,0.5714285714285714,0.8,0.6666666666666666,484.6,484.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,ADWIN,сырые,LORD++,0.00425531914893617,0.0425531914893617,0.2857142857142857,0.7142857142857143,0.5,0.588235294117647,339.6,1074.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,ADWIN,остатки,bonferroni,0.006382978723404255,0.06382978723404255,0.3333333333333333,0.5555555555555556,0.5,0.5263157894736842,465.3333333333333,934.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,ADWIN,остатки,bh_window,0.010638297872340425,0.10638297872340426,0.4166666666666667,0.5,0.6,0.5454545454545454,521.4285714285714,714.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,MeanShift(1),сырые,uncorrected,0.251063829787234,0.9361702127659575,0.921875,0.078125,1.0,0.14492753623188406,144.6,144.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,MeanShift(1),сырые,bonferroni,0.002127659574468085,0.02127659574468085,0.1111111111111111,0.7777777777777778,0.7,0.7368421052631577,588.75,894.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,MeanShift(1),сырые,bh_window,0.002127659574468085,0.02127659574468085,0.1111111111111111,0.7777777777777778,0.7,0.7368421052631577,501.25,824.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,MeanShift(1),сырые,LORD++,0.0,0.0,0.0,,0.0,0.0,,2104.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,MeanShift(1),остатки,bonferroni,0.002127659574468085,0.02127659574468085,0.125,0.5,0.4,0.4444444444444445,844.1428571428571,1224.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,MeanShift(1),остатки,bh_window,0.002127659574468085,0.02127659574468085,0.125,0.625,0.5,0.5555555555555556,587.0,1044.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,MeanShift(3),сырые,uncorrected,0.1595744680851064,0.7446808510638298,0.8823529411764706,0.11764705882352941,1.0,0.21052631578947367,384.6,384.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,MeanShift(3),сырые,bonferroni,0.00425531914893617,0.0425531914893617,0.25,0.625,0.5,0.5555555555555556,565.3333333333334,994.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,MeanShift(3),сырые,bh_window,0.00851063829787234,0.0851063829787234,0.4,0.5,0.5,0.5,515.3333333333334,964.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,MeanShift(3),сырые,LORD++,0.0,0.0,0.0,,0.0,0.0,,2104.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,MeanShift(3),остатки,bonferroni,0.002127659574468085,0.02127659574468085,0.14285714285714285,0.7142857142857143,0.5,0.588235294117647,665.3333333333334,1054.6
