delta,detector,rule,alarms_per_model_year,false_alarms_per_model_year,fdp,episodes_caught,long_caught,episode_delay_days,far_per_test,p_any_false_alarm_per_window,fleet_alarms,fleet_false
0.05,PH,river по умолчанию,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
0.05,PH,uncorrected,0.058300616937745374,0.007066741446999439,0.12121212121212122,0.21487603305785127,0.3466666666666667,90.0,0.0006326111023248458,0.016853932584269662,0.0,0.0
0.05,PH,bonferroni,0.031800336511497475,0.0,0.0,0.1111111111111111,0.19753086419753085,130.0,0.0,0.0,0.0,0.0
0.05,PH,bh_window,0.031800336511497475,0.0,0.0,0.12030075187969924,0.2191780821917808,120.0,0.0,0.0,0.0,0.0
0.05,MeanShift(3),uncorrected,0.06536735838474482,0.0035333707234997194,0.05405405405405406,0.3055555555555556,0.5689655172413793,100.0,0.0003094059405940594,0.011235955056179775,0.0,0.0
0.05,MeanShift(3),bonferroni,0.047700504767246216,0.0,0.0,0.17985611510791366,0.3048780487804878,140.0,0.0,0.0,0.0,0.0
0.05,MeanShift(3),bh_window,0.044167134043746496,0.0017666853617498597,0.04,0.1679389312977099,0.2857142857142857,120.0,0.0001584786053882726,0.0056179775280898875,0.0,0.0
0.05,MeanShift(3),bonferroni + split_common,0.05653393157599551,0.005300056085249579,0.09375,0.23076923076923075,0.38571428571428573,80.0,0.00046918986549890525,0.016853932584269662,1.0,1.0
0.05,MeanShift(3),bh_window + split_common,0.07243409983174426,0.007066741446999439,0.09756097560975611,0.3235294117647059,0.5,80.0,0.0006176652254478073,0.016853932584269662,1.0,1.0
0.02,PH,river по умолчанию,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
0.02,PH,uncorrected,0.10776780706674145,0.021200224340998317,0.19672131147540983,0.23195876288659792,0.3620689655172414,80.0,0.002011397921555481,0.0449438202247191,0.0,0.0
0.02,PH,bonferroni,0.035333707234997194,0.0,0.0,0.0743801652892562,0.12244897959183672,130.0,0.0,0.0,0.0,0.0
0.02,PH,bh_window,0.047700504767246216,0.007066741446999439,0.14814814814814814,0.0871369294605809,0.14788732394366197,100.0,0.0006961364427427776,0.011235955056179775,0.0,0.0
0.02,MeanShift(3),uncorrected,0.1360347728547392,0.03356702187324734,0.24675324675324675,0.29347826086956524,0.43902439024390244,80.0,0.003238452360661326,0.05056179775280898,0.0,0.0
0.02,MeanShift(3),bonferroni,0.06183398766124509,0.007066741446999439,0.11428571428571428,0.12663755458515283,0.19205298013245034,160.0,0.0007079646017699115,0.016853932584269662,0.0,0.0
0.02,MeanShift(3),bh_window,0.0795008412787437,0.010600112170499158,0.13333333333333333,0.1643192488262911,0.25925925925925924,140.0,0.0010391409767925182,0.016853932584269662,0.0,0.0
0.02,MeanShift(3),bonferroni + split_common,0.06006730229949523,0.0035333707234997194,0.0588235294117647,0.12446351931330472,0.1895424836601307,120.0,0.0003486750348675035,0.011235955056179775,1.0,0.0
0.02,MeanShift(3),bh_window + split_common,0.0795008412787437,0.010600112170499158,0.13333333333333333,0.16818181818181818,0.24666666666666667,80.0,0.0010251153254741158,0.0056179775280898875,1.0,0.0
