method,seed,alarms_per_model_year,false_alarms_per_model_year,fdp,degraded_days_per_model_year,us_per_model_step
"PH, окно 100",2,0.031800336511497475,0.0,0.0,26.056842400448684,2.5629780046232713
"PH, окно 100",1,0.031800336511497475,0.0,0.0,26.056842400448684,2.699882447087503
"MeanShift(3), окно 100",0,0.047700504767246216,0.010600112170499158,0.2222222222222222,28.438334268087495,2.281199396388475
"PH, окно 100",0,0.031800336511497475,0.0,0.0,26.056842400448684,2.6246405656573333
"PH + AR, окно 100",0,0.021200224340998317,0.0,0.0,28.514301738642736,3.2275504815563507
"MeanShift(3), окно 100",2,0.047700504767246216,0.010600112170499158,0.2222222222222222,28.438334268087495,2.504726587077074
"MeanShift(3), окно 100",1,0.047700504767246216,0.010600112170499158,0.2222222222222222,28.438334268087495,2.9388759020540216
"PH + AR, окно 100",1,0.021200224340998317,0.0,0.0,28.514301738642736,3.404144919972715
"PH + AR, окно 100",2,0.021200224340998317,0.0,0.0,28.514301738642736,3.1268722734757084
"PH, окно 25",1,0.026500280426247896,0.0,0.0,24.537492989343804,9.55432769261983
"PH, окно 25",2,0.026500280426247896,0.0,0.0,24.537492989343804,9.028610207539211
"PH, окно 25",0,0.026500280426247896,0.0,0.0,24.537492989343804,10.37335777944343
"PH + AR, окно 25",0,0.017666853617498597,0.0,0.0,28.24929893438026,11.02641288661051
"e-CUSUM, окно 100",0,0.030033651149747615,0.0,0.0,21.203757711721817,3.1847702930039965
"PH + AR, окно 25",2,0.017666853617498597,0.0,0.0,28.24929893438026,10.956418366790764
"PH + AR, окно 25",1,0.017666853617498597,0.0,0.0,28.24929893438026,11.838431721375235
"e-CUSUM, окно 100",1,0.030033651149747615,0.0,0.0,21.203757711721817,3.294818095479109
"e-CUSUM, окно 100",2,0.030033651149747615,0.0,0.0,21.203757711721817,3.350113639443739
"e-CUSUM, каждый шаг",1,0.051233875490745935,0.014133482893998878,0.27586206896551724,19.39997195737521,4.628604300057704
"e-CUSUM, каждый шаг",0,0.051233875490745935,0.014133482893998878,0.27586206896551724,19.39997195737521,4.281104645943612
"e-CUSUM, каждый шаг",2,0.051233875490745935,0.014133482893998878,0.27586206896551724,19.39997195737521,4.289438056157988
