case,seed,method,false_alarms,p_false_alarm_per_100_steps,mean_delay,degraded_per_drift,missed,f1,us_per_model_step
"abrupt, Δ=0.5, ρ=0",0,"MeanShift(3), окно 100",0,0.0,424.77777777777777,724.0,0.0999999999999999,0.9473684210526316,1.429093928000043
"abrupt, Δ=0.5, ρ=0",0,"PH, окно 100",1,0.0212765957446808,512.5,934.0,0.1999999999999999,0.7368421052631577,1.6241753659999034
"abrupt, Δ=0.5, ρ=0",0,"PH, окно 25",0,0.0,667.5,1176.5,0.4,0.625,5.347335322000006
"abrupt, Δ=0.5, ρ=0",0,"PH + AR, окно 100",1,0.0212765957446808,575.0,984.0,0.1999999999999999,0.7368421052631577,2.097989962000071
"abrupt, Δ=0.5, ρ=0",0,"PH + AR, окно 25",0,0.0,667.5,1176.5,0.4,0.625,5.994733100000119
"abrupt, Δ=0.5, ρ=0",1,"PH, окно 100",1,0.0212765957446808,781.5,1146.9,0.4,0.4705882352941176,1.7541612059999636
"abrupt, Δ=0.5, ρ=0",0,"e-CUSUM, окно 100",1,0.0212765957446808,424.77777777777777,724.0,0.0999999999999999,0.8000000000000002,1.9888805140000445
"abrupt, Δ=0.5, ρ=0",1,"MeanShift(3), окно 100",1,0.0212765957446808,701.3333333333334,776.9,0.0999999999999999,0.7,1.5450011699999493
"abrupt, Δ=0.5, ρ=0",1,"PH + AR, окно 100",1,0.0212765957446808,514.8333333333334,986.9,0.4,0.588235294117647,1.946508195999996
"abrupt, Δ=0.5, ρ=0",1,"PH, окно 25",1,0.0212765957446808,390.3333333333333,1494.4,0.7,0.4285714285714285,5.867576211999761
"abrupt, Δ=0.5, ρ=0",1,"PH + AR, окно 25",1,0.0212765957446808,385.0,1721.9,0.8,0.3076923076923076,6.171351400000191
"abrupt, Δ=0.5, ρ=0",1,"e-CUSUM, окно 100",2,0.0425531914893617,474.375,686.9,0.1999999999999999,0.8000000000000002,2.030964271999665
"abrupt, Δ=0.5, ρ=0.6",0,"PH, окно 100",0,0.0,613.6666666666666,894.0,0.0999999999999999,0.7368421052631577,1.934163813999703
"abrupt, Δ=0.5, ρ=0.6",0,"MeanShift(3), окно 100",1,0.0212765957446808,594.0,594.0,0.0,0.761904761904762,1.7689946519999469
"abrupt, Δ=0.5, ρ=0.6",0,"PH + AR, окно 100",0,0.0,632.75,994.0,0.1999999999999999,0.7777777777777777,1.9288439579999024
"abrupt, Δ=0.5, ρ=0.6",0,"PH, окно 25",0,0.0,827.2,1454.0,0.5,0.5333333333333333,5.429346988000248
"abrupt, Δ=0.5, ρ=0.6",0,"PH + AR, окно 25",0,0.0,887.2,1484.0,0.5,0.5333333333333333,5.669278206000229
"abrupt, Δ=0.5, ρ=0.6",0,"e-CUSUM, окно 100",0,0.0,514.0,514.0,0.0,0.9,2.377535934000093
"abrupt, Δ=0.5, ρ=0.6",1,"MeanShift(3), окно 100",17,0.1276595744680851,366.9,366.9,0.0,0.5405405405405406,1.5162745940001514
"abrupt, Δ=0.5, ρ=0.6",1,"PH, окно 100",11,0.1702127659574468,293.3333333333333,416.9,0.0999999999999999,0.6,1.8408779020000448
