variant,seed,signal,detector,alarms,fdp,episodes_caught,injected_drift_caught,corr_with_true_error
внедрён дрейф p(y|X) у 20% моделей,0,настоящая ошибка (с метками),MeanShift(1),13,0.0,0.14772727272727273,0.11764705882352941,-0.25663573524998795
внедрён дрейф p(y|X) у 20% моделей,0,настоящая ошибка (с метками),e-CUSUM,0,0.0,0.0,0.0,-0.25663573524998795
внедрён дрейф p(y|X) у 20% моделей,0,оценка CBPE (без меток),MeanShift(1),0,0.0,0.0,0.0,-0.25663573524998795
внедрён дрейф p(y|X) у 20% моделей,0,оценка CBPE (без меток),e-CUSUM,0,0.0,0.0,0.0,-0.25663573524998795
естественные изменения,0,настоящая ошибка (с метками),MeanShift(1),9,0.0,0.10227272727272728,,-0.22702466399860938
естественные изменения,0,настоящая ошибка (с метками),e-CUSUM,0,0.0,0.0,,-0.22702466399860938
естественные изменения,0,оценка CBPE (без меток),MeanShift(1),0,0.0,0.0,,-0.22702466399860938
естественные изменения,0,оценка CBPE (без меток),e-CUSUM,0,0.0,0.0,,-0.22702466399860938
внедрён дрейф p(y|X) у 20% моделей,1,настоящая ошибка (с метками),MeanShift(1),11,0.0,0.13095238095238096,0.25,-0.24205597266561188
внедрён дрейф p(y|X) у 20% моделей,1,настоящая ошибка (с метками),e-CUSUM,0,0.0,0.0,0.0,-0.24205597266561188
внедрён дрейф p(y|X) у 20% моделей,1,оценка CBPE (без меток),MeanShift(1),0,0.0,0.0,0.0,-0.24205597266561188
внедрён дрейф p(y|X) у 20% моделей,1,оценка CBPE (без меток),e-CUSUM,0,0.0,0.0,0.0,-0.24205597266561188
естественные изменения,1,настоящая ошибка (с метками),MeanShift(1),12,0.0,0.14814814814814814,,-0.19234198375970737
естественные изменения,1,настоящая ошибка (с метками),e-CUSUM,0,0.0,0.0,,-0.19234198375970737
естественные изменения,1,оценка CBPE (без меток),MeanShift(1),0,0.0,0.0,,-0.19234198375970737
естественные изменения,1,оценка CBPE (без меток),e-CUSUM,0,0.0,0.0,,-0.19234198375970737
