detector,n_streams,rho,procedure,saved_false_retrains_per_drift,extra_degraded_steps_per_drift,breakeven_steps_per_false_retrain
ADWIN,100,0.3,LOND,12.940000000000001,4.000000000000028,0.30911901081916754
ADWIN,100,0.3,LORD++,12.719999999999999,-11.999999999999972,0.0
ADWIN,100,0.3,SAFFRON,12.139999999999999,-7.999999999999972,0.0
ADWIN,100,0.3,alpha-investing,12.6,18.00000000000003,1.4285714285714308
ADWIN,100,0.3,bh_window,11.6,-52.0,0.0
ADWIN,100,0.3,bonferroni,12.059999999999999,-48.0,0.0
DDM,100,0.3,LOND,1.3,1866.0,1435.3846153846152
DDM,100,0.3,LORD++,1.3,1866.0,1435.3846153846152
DDM,100,0.3,SAFFRON,1.3,1866.0,1435.3846153846152
DDM,100,0.3,alpha-investing,1.3,1866.0,1435.3846153846152
DDM,100,0.3,bh_window,1.3,1140.0,876.9230769230769
DDM,100,0.3,bonferroni,1.3,1224.0,941.5384615384615
KS,100,0.3,LOND,7.639999999999999,341.9999999999999,44.764397905759154
KS,100,0.3,LORD++,7.58,233.99999999999997,30.870712401055403
KS,100,0.3,SAFFRON,7.339999999999999,237.99999999999997,32.42506811989101
KS,100,0.3,alpha-investing,7.5,541.9999999999999,72.26666666666665
KS,100,0.3,bh_window,7.2,113.99999999999997,15.833333333333329
KS,100,0.3,bonferroni,7.4,115.99999999999997,15.675675675675672
PH,10,0.0,LOND,6.4,419.99999999999994,65.62499999999999
PH,10,0.0,LORD++,6.4,499.99999999999994,78.12499999999999
PH,10,0.0,SAFFRON,6.4,499.99999999999994,78.12499999999999
PH,10,0.0,alpha-investing,6.2,810.0,130.6451612903226
PH,10,0.0,bh_window,5.5,60.000000000000014,10.909090909090912
PH,10,0.0,bonferroni,5.5,60.000000000000014,10.909090909090912
PH,10,0.3,LOND,6.7,330.0,49.25373134328358
PH,10,0.3,LORD++,6.7,439.99999999999994,65.67164179104476
PH,10,0.3,SAFFRON,5.9,350.0,59.32203389830508
PH,10,0.3,alpha-investing,6.5,499.99999999999994,76.92307692307692
PH,10,0.3,bh_window,4.7,20.0,4.25531914893617
PH,10,0.3,bonferroni,4.9,20.0,4.081632653061225
PH,50,0.0,LOND,4.8,392.0,81.66666666666667
PH,50,0.0,LORD++,4.8,260.0,54.16666666666667
PH,50,0.0,SAFFRON,4.779999999999999,312.0,65.27196652719667
PH,50,0.0,alpha-investing,4.720000000000001,646.0,136.864406779661
PH,50,0.0,bh_window,4.68,60.0,12.820512820512821
PH,50,0.0,bonferroni,4.7,62.0,13.191489361702127
PH,50,0.3,LOND,5.8,344.0,59.310344827586206
PH,50,0.3,LORD++,5.8,268.0,46.20689655172414
PH,50,0.3,SAFFRON,5.68,500.0,88.02816901408451
PH,50,0.3,alpha-investing,5.7,739.9999999999999,129.82456140350874
PH,50,0.3,bh_window,5.24,70.0,13.358778625954198
PH,50,0.3,bonferroni,5.68,70.0,12.323943661971832
PH,100,0.0,LOND,5.04,547.0,108.53174603174602
PH,100,0.0,LORD++,5.029999999999999,351.0,69.78131212723659
PH,100,0.0,SAFFRON,5.0,407.0,81.4
PH,100,0.0,alpha-investing,5.0,792.0000000000001,158.40000000000003
PH,100,0.0,bh_window,4.9399999999999995,82.99999999999997,16.801619433198375
PH,100,0.0,bonferroni,4.99,93.99999999999997,18.837675350701396
PH,100,0.3,LOND,6.0,470.0,78.33333333333333
PH,100,0.3,LORD++,5.95,280.0,47.05882352941176
PH,100,0.3,SAFFRON,4.8100000000000005,359.0,74.63617463617463
PH,100,0.3,alpha-investing,5.86,625.0,106.65529010238907
PH,100,0.3,bh_window,5.59,70.99999999999997,12.701252236135952
PH,100,0.3,bonferroni,5.84,77.99999999999997,13.356164383561639
PH,250,0.0,LOND,5.14,494.8,96.26459143968873
PH,250,0.0,LORD++,5.136,199.59999999999997,38.86292834890965
PH,250,0.0,SAFFRON,5.092,219.2,43.04791830322074
PH,250,0.0,alpha-investing,5.056,466.00000000000006,92.16772151898735
PH,250,0.0,bh_window,5.068,94.00000000000001,18.54775059194949
PH,250,0.0,bonferroni,5.104,111.2,21.786833855799372
PH,250,0.3,LOND,5.876,475.20000000000005,80.8713410483322
PH,250,0.3,LORD++,5.808,181.20000000000002,31.19834710743802
PH,250,0.3,SAFFRON,5.0,289.20000000000005,57.84000000000001
PH,250,0.3,alpha-investing,-2.08,712.8000000000001,
PH,250,0.3,bh_window,5.528,85.19999999999999,15.41244573082489
PH,250,0.3,bonferroni,5.787999999999999,102.4,17.691776088458884
PH,500,0.0,LOND,5.032,503.6000000000001,100.07949125596186
PH,500,0.0,LORD++,5.02,215.00000000000006,42.82868525896416
PH,500,0.0,SAFFRON,4.978,248.40000000000003,49.89955805544396
PH,500,0.0,alpha-investing,4.976,732.2,147.14630225080387
PH,500,0.0,bh_window,5.005999999999999,112.40000000000003,22.45305633240113
PH,500,0.0,bonferroni,5.018,146.8,29.25468314069351
PH,500,0.3,LOND,5.778,544.8,94.28868120456906
PH,500,0.3,LORD++,5.745999999999999,195.60000000000002,34.041072050121834
PH,500,0.3,SAFFRON,4.484,264.40000000000003,58.96520963425514
PH,500,0.3,alpha-investing,5.605999999999999,666.4000000000001,118.87263646093476
PH,500,0.3,bh_window,5.555999999999999,110.0,19.798416126709867
PH,500,0.3,bonferroni,5.747999999999999,143.40000000000003,24.947807933194163
