detector,n_streams,rho,procedure,alpha,seed,n_tests,n_null_tests,alarms,false_alarms,true_alarms,fdp,far_per_test,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mtfa_stream_steps,n_drifts,detected,mdr,mean_delay,median_delay,degraded_per_drift
PH,500,0.0,raw,,2,18288,18224,1801,1751,50,0.9722376457523598,0.0960820895522388,37.255319148936174,1.0,0.7451063829787234,1342.0902341519131,50,50,0.0,112.48,94.0,112.48
PH,500,0.0,uncorrected,0.05,2,22601,22511,305,255,50,0.8360655737704918,0.011327795300075518,5.425531914893617,0.9787234042553191,0.10851063829787234,9215.686274509804,50,50,0.0,138.48,146.5,138.48
PH,500,0.0,bonferroni,0.05,2,23350,23188,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,276.48,253.0,276.48
PH,500,0.0,bh_window,0.05,2,23350,23205,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,242.48,246.5,242.48
PH,500,0.0,LOND,0.05,2,23374,22970,42,0,42,0.0,0.0,0.0,0.0,0.0,inf,50,42,0.16000000000000003,438.7857142857143,356.5,760.48
PH,500,0.0,LORD++,0.05,2,23353,23127,49,0,49,0.0,0.0,0.0,0.0,0.0,inf,50,49,0.020000000000000018,360.6530612244898,296.0,404.48
PH,500,0.0,SAFFRON,0.05,2,23350,23135,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,382.48,299.5,382.48
PH,500,0.0,alpha-investing,0.05,2,23344,22998,52,4,48,0.07692307692307693,0.00017392816766675364,0.0851063829787234,0.06382978723404255,0.001702127659574468,587500.0,50,48,0.040000000000000036,555.625,499.5,644.48
PH,500,0.0,raw,,3,18384,18304,1774,1724,50,0.971815107102593,0.09418706293706294,36.680851063829785,1.0,0.7336170212765958,1363.109048723898,50,50,0.0,141.34,93.0,141.34
PH,500,0.0,uncorrected,0.05,3,22626,22525,296,247,49,0.8344594594594594,0.010965593784683685,5.25531914893617,1.0,0.1051063829787234,9514.17004048583,50,49,0.020000000000000018,122.12244897959184,120.0,159.34
PH,500,0.0,bonferroni,0.05,3,23347,23190,52,2,50,0.038461538461538464,8.6244070720138e-05,0.0425531914893617,0.0425531914893617,0.000851063829787234,1175000.0,50,50,0.0,265.34,272.5,265.34
PH,500,0.0,bh_window,0.05,3,23347,23207,52,2,50,0.038461538461538464,8.618089369586763e-05,0.0425531914893617,0.0425531914893617,0.000851063829787234,1175000.0,50,50,0.0,231.34,233.0,231.34
PH,500,0.0,LOND,0.05,3,23371,22979,44,0,44,0.0,0.0,0.0,0.0,0.0,inf,50,44,0.12,488.0,378.0,735.34
PH,500,0.0,LORD++,0.05,3,23347,23159,51,1,50,0.0196078431372549,4.317975732976381e-05,0.02127659574468085,0.02127659574468085,0.000425531914893617,2350000.0,50,50,0.0,327.34,297.0,327.34
PH,500,0.0,SAFFRON,0.05,3,23338,23139,54,4,50,0.07407407407407407,0.00017286831755909936,0.0851063829787234,0.06382978723404255,0.001702127659574468,587500.0,50,50,0.0,349.34,348.0,349.34
PH,500,0.0,alpha-investing,0.05,3,23350,23047,50,1,49,0.02,4.3389595175077016e-05,0.02127659574468085,0.02127659574468085,0.000425531914893617,2350000.0,50,49,0.020000000000000018,528.1428571428571,473.0,557.34
PH,500,0.0,raw,,0,18341,18272,1779,1729,50,0.971894322653176,0.09462565674255692,36.787234042553195,1.0,0.7357446808510638,1359.167148640833,50,50,0.0,105.32,102.0,105.32
PH,500,0.0,uncorrected,0.05,0,22626,22535,299,249,50,0.8327759197324415,0.01104947858886177,5.297872340425532,1.0,0.10595744680851064,9437.751004016065,50,50,0.0,125.32,120.0,125.32
PH,500,0.0,bonferroni,0.05,0,23347,23183,51,2,49,0.0392156862745098,8.627011171979468e-05,0.0425531914893617,0.0425531914893617,0.000851063829787234,1175000.0,50,49,0.020000000000000018,256.265306122449,245.0,271.32
PH,500,0.0,bh_window,0.05,0,23344,23193,52,3,49,0.057692307692307696,0.0001293493726555426,0.06382978723404255,0.06382978723404255,0.001276595744680851,783333.3333333334,50,49,0.020000000000000018,229.73469387755102,224.0,245.32
PH,500,0.0,LOND,0.05,0,23360,23086,47,0,47,0.0,0.0,0.0,0.0,0.0,inf,50,47,0.06000000000000005,388.48936170212767,383.0,491.32
PH,500,0.0,LORD++,0.05,0,23350,23162,50,1,49,0.02,4.317416457991538e-05,0.02127659574468085,0.02127659574468085,0.000425531914893617,2350000.0,50,49,0.020000000000000018,305.2448979591837,288.0,319.32
