detector,n_streams,rho,procedure,fdr,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mdr,mean_delay,degraded_per_drift,alarms,false_alarms,n_drifts,fdr_se,n_seeds
ADWIN,100,0.3,LOND,0.09350649350649351,0.02553191489361702,0.01702127659574468,0.0025531914893617024,0.0,178.88000000000002,178.88000000000002,11.2,1.2,10.0,0.05217482967948224,5
ADWIN,100,0.3,LORD++,0.2371647959883254,0.07234042553191489,0.05957446808510638,0.007234042553191489,0.0,162.88000000000002,162.88000000000002,13.4,3.4,10.0,0.05442600584656323,5
ADWIN,100,0.3,SAFFRON,0.35270562770562774,0.19574468085106383,0.055319148936170216,0.019574468085106385,0.0,166.88000000000002,166.88000000000002,19.2,9.2,10.0,0.13736175289072353,5
ADWIN,100,0.3,alpha-investing,0.20092592592592595,0.09787234042553192,0.03404255319148936,0.00978723404255319,0.0,192.88000000000002,192.88000000000002,14.6,4.6,10.0,0.12946086898395034,5
ADWIN,100,0.3,bh_window,0.5390476190476191,0.31063829787234043,0.16170212765957448,0.031063829787234043,0.0,122.88,122.88,24.6,14.6,10.0,0.07387995871222265,5
ADWIN,100,0.3,bonferroni,0.4785964035964036,0.2127659574468085,0.14893617021276595,0.02127659574468085,0.0,126.88,126.88,20.0,10.0,10.0,0.053412932271458755,5
ADWIN,100,0.3,raw,0.9655622631852191,6.059574468085106,0.9829787234042554,0.6059574468085106,0.0,102.88,102.88,294.8,284.8,10.0,0.0020607200595227446,5
ADWIN,100,0.3,uncorrected,0.9286306471987936,2.7787234042553193,0.8680851063829789,0.27787234042553194,0.019999999999999997,135.38666666666666,174.88,140.4,130.6,10.0,0.005275006075632005,5
DDM,100,0.3,LOND,0.0,0.0,0.0,0.0,1.0,,2178.88,0.0,0.0,10.0,0.0,5
DDM,100,0.3,LORD++,0.0,0.0,0.0,0.0,1.0,,2178.88,0.0,0.0,10.0,0.0,5
DDM,100,0.3,SAFFRON,0.0,0.0,0.0,0.0,1.0,,2178.88,0.0,0.0,10.0,0.0,5
DDM,100,0.3,alpha-investing,0.0,0.0,0.0,0.0,1.0,,2178.88,0.0,0.0,10.0,0.0,5
DDM,100,0.3,bh_window,0.0,0.0,0.0,0.0,0.58,532.5,1452.8799999999999,4.2,0.0,10.0,0.0,5
DDM,100,0.3,bonferroni,0.0,0.0,0.0,0.0,0.64,548.6333333333333,1536.8799999999999,3.6,0.0,10.0,0.0,5
DDM,100,0.3,raw,0.9547319876788516,4.536170212765958,0.8936170212765957,0.4536170212765958,0.0,150.88000000000002,150.88000000000002,223.2,213.2,10.0,0.002371893097107918,5
DDM,100,0.3,uncorrected,0.5588926862611073,0.276595744680851,0.17446808510638298,0.027659574468085108,0.039999999999999994,227.725,312.88,22.6,13.0,10.0,0.040444241400196715,5
KS,100,0.3,LOND,0.01818181818181818,0.00425531914893617,0.00425531914893617,0.000425531914893617,0.019999999999999997,510.5644444444444,520.8799999999999,10.0,0.2,10.0,0.01818181818181818,5
KS,100,0.3,LORD++,0.0696969696969697,0.01702127659574468,0.01702127659574468,0.001702127659574468,0.0,412.88,412.88,10.8,0.8,10.0,0.03163729245124409,5
KS,100,0.3,SAFFRON,0.19766899766899768,0.06808510638297872,0.02553191489361702,0.006808510638297872,0.0,416.88,416.88,13.2,3.2,10.0,0.08483263383279649,5
KS,100,0.3,alpha-investing,0.1435064935064935,0.03404255319148936,0.02553191489361702,0.003404255319148936,0.1,662.6622222222222,720.8799999999999,10.6,1.6,10.0,0.06091795133958774,5
KS,100,0.3,bh_window,0.2737373737373737,0.09787234042553192,0.05106382978723404,0.009787234042553192,0.0,292.88,292.88,14.6,4.6,10.0,0.08267107525000222,5
KS,100,0.3,bonferroni,0.1853832442067736,0.055319148936170216,0.05106382978723404,0.005531914893617021,0.0,294.88,294.88,12.6,2.6,10.0,0.05907618725960129,5
KS,100,0.3,raw,0.8542698523427509,1.3702127659574468,0.48510638297872344,0.13702127659574467,0.0,204.88000000000002,204.88000000000002,74.4,64.4,10.0,0.02039906069584316,5
KS,100,0.3,uncorrected,0.8757282611492638,1.6297872340425532,0.7106382978723405,0.16297872340425532,0.0,178.88000000000002,178.88000000000002,86.6,76.6,10.0,0.017090168258466078,5
PH,10,0.0,LOND,0.0,0.0,0.0,0.0,0.1,433.8888888888889,539.3,0.9,0.0,1.0,0.0,10
PH,10,0.0,LORD++,0.0,0.0,0.0,0.0,0.2,318.75,619.3,0.8,0.0,1.0,0.0,10
PH,10,0.0,SAFFRON,0.0,0.0,0.0,0.0,0.2,318.75,619.3,0.8,0.0,1.0,0.0,10
PH,10,0.0,alpha-investing,0.1,0.00425531914893617,0.002127659574468085,0.00425531914893617,0.4,350.6666666666667,929.3,0.8,0.2,1.0,0.09999999999999999,10
PH,10,0.0,bh_window,0.3083333333333333,0.019148936170212766,0.019148936170212766,0.019148936170212766,0.0,179.3,179.3,1.9,0.9,1.0,0.10544584942279057,10
PH,10,0.0,bonferroni,0.3083333333333333,0.019148936170212766,0.019148936170212766,0.019148936170212766,0.0,179.3,179.3,1.9,0.9,1.0,0.10544584942279057,10
PH,10,0.0,raw,0.973750246243419,0.825531914893617,0.5425531914893618,0.825531914893617,0.0,99.3,99.3,39.8,38.8,1.0,0.00202376864422748,10
PH,10,0.0,uncorrected,0.8054029304029303,0.13617021276595745,0.125531914893617,0.13617021276595745,0.0,119.3,119.3,7.4,6.4,1.0,0.05124454750109684,10
PH,10,0.3,LOND,0.0,0.0,0.0,0.0,0.1,270.8888888888889,459.3,0.9,0.0,1.0,0.0,10
PH,10,0.3,LORD++,0.0,0.0,0.0,0.0,0.1,393.1111111111111,569.3,0.9,0.0,1.0,0.0,10
PH,10,0.3,SAFFRON,0.25,0.01702127659574468,0.014893617021276595,0.01702127659574468,0.1,293.1111111111111,479.3,1.7,0.8,1.0,0.10540925533894596,10
PH,10,0.3,alpha-investing,0.1,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.2,331.25,629.3,1.0,0.2,1.0,0.06666666666666667,10
PH,10,0.3,bh_window,0.48,0.0425531914893617,0.03191489361702128,0.0425531914893617,0.0,149.3,149.3,3.0,2.0,1.0,0.11124436454030069,10
PH,10,0.3,bonferroni,0.4716666666666667,0.03829787234042553,0.036170212765957444,0.03829787234042553,0.0,149.3,149.3,2.8,1.8,1.0,0.10858375614596058,10
PH,10,0.3,raw,0.973871654242868,0.8106382978723404,0.48723404255319147,0.8106382978723404,0.0,259.3,259.3,39.1,38.1,1.0,0.0013505417031887022,10
PH,10,0.3,uncorrected,0.7557936507936508,0.14255319148936169,0.11702127659574468,0.14255319148936169,0.0,129.3,129.3,7.7,6.7,1.0,0.09273549441329502,10
PH,50,0.0,LOND,0.0,0.0,0.0,0.0,0.12,369.34833333333336,522.38,4.4,0.0,5.0,0.0,10
PH,50,0.0,LORD++,0.0,0.0,0.0,0.0,0.019999999999999997,379.90999999999997,390.38,4.9,0.0,5.0,0.0,10
PH,50,0.0,SAFFRON,0.02,0.002127659574468085,0.002127659574468085,0.000425531914893617,0.039999999999999994,411.26500000000004,442.38,4.9,0.1,5.0,0.019999999999999997,10
PH,50,0.0,alpha-investing,0.059523809523809514,0.00851063829787234,0.00425531914893617,0.0017021276595744679,0.18,570.9666666666667,776.38,4.5,0.4,5.0,0.04422422766906359,10
PH,50,0.0,bh_window,0.09047619047619046,0.01276595744680851,0.01276595744680851,0.0025531914893617024,0.0,190.38,190.38,5.6,0.6,5.0,0.039010176912522246,10
PH,50,0.0,bonferroni,0.07857142857142857,0.010638297872340425,0.010638297872340425,0.002127659574468085,0.0,192.38,192.38,5.5,0.5,5.0,0.03386760046563789,10
PH,50,0.0,raw,0.9725962425850128,3.787234042553192,0.9808510638297872,0.7574468085106383,0.0,162.38,162.38,183.0,178.0,5.0,0.0005046918183502421,10
PH,50,0.0,uncorrected,0.8220057854550948,0.5106382978723405,0.37446808510638296,0.10212765957446808,0.0,130.38,130.38,29.0,24.0,5.0,0.010493846309837091,10
PH,50,0.3,LOND,0.0,0.0,0.0,0.0,0.06,421.81500000000005,470.38,4.7,0.0,5.0,0.0,10
PH,50,0.3,LORD++,0.0,0.0,0.0,0.0,0.0,394.38,394.38,5.0,0.0,5.0,0.0,10
PH,50,0.3,SAFFRON,0.07777777777777777,0.012765957446808512,0.006382978723404255,0.002553191489361702,0.08,482.36,626.38,5.2,0.6,5.0,0.04625924443258072,10
PH,50,0.3,alpha-investing,0.0738095238095238,0.010638297872340425,0.00851063829787234,0.002127659574468085,0.2,598.0333333333333,866.3799999999999,4.5,0.5,5.0,0.03895362283113658,10
PH,50,0.3,bh_window,0.21875,0.05957446808510638,0.02127659574468085,0.011914893617021275,0.0,196.38,196.38,7.8,2.8,5.0,0.09092980351164665,10
PH,50,0.3,bonferroni,0.09523809523809523,0.01276595744680851,0.01276595744680851,0.002553191489361702,0.0,196.38,196.38,5.6,0.6,5.0,0.03367175148507369,10
PH,50,0.3,raw,0.9729625413299356,3.8340425531914897,0.8595744680851064,0.7668085106382978,0.0,136.38,136.38,185.1,180.2,5.0,0.0014166823561497467,10
PH,50,0.3,uncorrected,0.8179035907881582,0.6170212765957447,0.32978723404255317,0.12340425531914893,0.0,126.38,126.38,34.0,29.0,5.0,0.025677246480454472,10
PH,100,0.0,LOND,0.0,0.0,0.0,0.0,0.11000000000000001,453.39222222222224,675.62,8.9,0.0,10.0,0.0,10
PH,100,0.0,LORD++,0.00909090909090909,0.002127659574468085,0.002127659574468085,0.0002127659574468085,0.009999999999999998,451.6511111111111,479.62,10.0,0.1,10.0,0.00909090909090909,10
PH,100,0.0,SAFFRON,0.03636363636363636,0.00851063829787234,0.00851063829787234,0.000851063829787234,0.029999999999999992,488.4705555555555,535.62,10.1,0.4,10.0,0.01484539238050411,10
PH,100,0.0,alpha-investing,0.03727272727272728,0.00851063829787234,0.00851063829787234,0.000851063829787234,0.04999999999999999,871.5005555555556,920.6200000000001,9.9,0.4,10.0,0.020393286495019685,10
PH,100,0.0,bh_window,0.0816017316017316,0.02127659574468085,0.01702127659574468,0.002127659574468085,0.0,211.61999999999998,211.61999999999998,11.0,1.0,10.0,0.02903634811646741,10
PH,100,0.0,bonferroni,0.04393939393939394,0.010638297872340425,0.010638297872340425,0.0010638297872340426,0.0,222.61999999999998,222.61999999999998,10.5,0.5,10.0,0.019225117485529575,10
PH,100,0.0,raw,0.9724095862984925,7.519148936170213,1.0,0.7519148936170212,0.0,107.62,107.62,363.4,353.4,10.0,0.00047994575891588355,10
PH,100,0.0,uncorrected,0.83227232893055,1.0723404255319149,0.6063829787234043,0.1072340425531915,0.0,128.62,128.62,60.4,50.4,10.0,0.006368329208952774,10
PH,100,0.3,LOND,0.0,0.0,0.0,0.0,0.11000000000000001,405.07365079365076,605.62,8.9,0.0,10.0,0.0,10
PH,100,0.3,LORD++,0.04242424242424242,0.010638297872340425,0.010638297872340425,0.0010638297872340426,0.0,415.62,415.62,10.5,0.5,10.0,0.022563947377463308,10
PH,100,0.3,SAFFRON,0.2632792589314329,0.2531914893617021,0.027659574468085108,0.025319148936170217,0.019999999999999997,468.0133333333333,494.62,21.7,11.9,10.0,0.1119382486512512,10
PH,100,0.3,alpha-investing,0.1094871794871795,0.02978723404255319,0.01702127659574468,0.0029787234042553193,0.039999999999999994,730.3638888888888,760.62,11.0,1.4,10.0,0.04051687743400239,10
