n_streams,procedure,alpha,seed,n_tests,n_null_tests,alarms,false_alarms,true_alarms,fdp,far_per_test,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mtfa_stream_steps,n_drifts,detected,mdr,mean_delay,median_delay,degraded_per_drift
500,LORD++,0.0001,3,23500,22425,0,0,0,0.0,0.0,0.0,0.0,0.0,inf,50,0,1.0,,,2101.34
500,LORD++,0.001,3,23407,22669,35,0,35,0.0,0.0,0.0,0.0,0.0,inf,50,35,0.30000000000000004,1022.0,1078.0,1427.34
500,LORD++,0.01,3,23356,23017,48,0,48,0.0,0.0,0.0,0.0,0.0,inf,50,48,0.040000000000000036,569.9166666666666,437.0,629.34
500,LORD++,0.05,3,23350,23117,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,417.34,331.0,417.34
500,LORD++,0.1,3,23350,23145,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,361.34,306.0,361.34
500,LORD++,0.2,3,23350,23160,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,331.34,290.0,331.34
500,uncorrected,0.0001,3,23350,23179,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,293.34,278.0,293.34
500,uncorrected,0.001,3,23347,23213,51,1,50,0.0196078431372549,4.3079309007883516e-05,0.02127659574468085,0.02127659574468085,0.000425531914893617,2350000.0,50,50,0.0,219.34,209.0,219.34
500,uncorrected,0.01,3,23308,23201,64,14,50,0.21875,0.0006034222662816258,0.2978723404255319,0.23404255319148937,0.005957446808510639,167857.14285714287,50,50,0.0,165.34,171.5,165.34
500,uncorrected,0.05,3,23055,22967,151,101,50,0.6688741721854304,0.004397613967866939,2.148936170212766,0.5957446808510638,0.04297872340425532,23267.326732673268,50,50,0.0,135.34,131.5,135.34
500,uncorrected,0.1,3,22649,22566,292,242,50,0.8287671232876712,0.010724098200833112,5.148936170212766,0.8297872340425532,0.10297872340425532,9710.743801652892,50,50,0.0,117.34,114.0,117.34
500,uncorrected,0.2,3,21097,21021,850,800,50,0.9411764705882353,0.03805718091432377,17.02127659574468,0.9574468085106383,0.3404255319148936,2937.5,50,50,0.0,127.34,110.5,127.34
500,bh_window,0.0001,3,23417,22728,37,0,37,0.0,0.0,0.0,0.0,0.0,inf,50,37,0.26,943.9459459459459,549.0,1329.34
500,bh_window,0.001,3,23369,23012,44,0,44,0.0,0.0,0.0,0.0,0.0,inf,50,44,0.12,479.0,402.0,665.34
500,bh_window,0.01,3,23350,23164,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,323.34,293.0,323.34
500,bh_window,0.05,3,23350,23193,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,265.34,252.0,265.34
500,bh_window,0.1,3,23350,23205,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,241.34,229.0,241.34
500,bh_window,0.2,3,23344,23208,52,2,50,0.038461538461538464,8.617718028266115e-05,0.0425531914893617,0.0425531914893617,0.000851063829787234,1175000.0,50,50,0.0,223.34,214.5,223.34
500,LOND,0.0001,3,23490,22429,4,0,4,0.0,0.0,0.0,0.0,0.0,inf,50,4,0.92,1465.0,1280.5,2073.34
500,LOND,0.001,3,23464,22531,12,0,12,0.0,0.0,0.0,0.0,0.0,inf,50,12,0.76,774.75,734.0,1817.34
500,LOND,0.01,3,23433,22653,25,0,25,0.0,0.0,0.0,0.0,0.0,inf,50,25,0.5,774.52,501.0,1511.34
500,LOND,0.05,3,23396,22785,37,0,37,0.0,0.0,0.0,0.0,0.0,inf,50,37,0.26,733.1351351351351,474.0,1173.34
500,LOND,0.1,3,23373,22880,43,0,43,0.0,0.0,0.0,0.0,0.0,inf,50,43,0.14,689.8837209302326,426.0,937.34
500,LOND,0.2,3,23362,22971,47,0,47,0.0,0.0,0.0,0.0,0.0,inf,50,47,0.06000000000000005,623.3617021276596,388.0,733.34
500,bonferroni,0.0001,3,23435,22667,23,0,23,0.0,0.0,0.0,0.0,0.0,inf,50,23,0.54,636.6086956521739,468.0,1487.34
500,bonferroni,0.001,3,23395,22832,37,0,37,0.0,0.0,0.0,0.0,0.0,inf,50,37,0.26,603.4054054054054,426.0,1077.34
500,bonferroni,0.01,3,23359,23091,47,0,47,0.0,0.0,0.0,0.0,0.0,inf,50,47,0.06000000000000005,361.6595744680851,335.0,487.34
500,bonferroni,0.05,3,23350,23179,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,293.34,278.0,293.34
500,bonferroni,0.1,3,23350,23189,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,273.34,272.5,273.34
500,bonferroni,0.2,3,23347,23199,51,1,50,0.0196078431372549,4.3105306263201e-05,0.02127659574468085,0.02127659574468085,0.000425531914893617,2350000.0,50,50,0.0,247.34,234.0,247.34
500,LORD++,0.0001,0,23379,22901,41,0,41,0.0,0.0,0.0,0.0,0.0,inf,50,41,0.18000000000000005,670.780487804878,574.0,899.32
500,LORD++,0.001,0,23357,23064,48,0,48,0.0,0.0,0.0,0.0,0.0,inf,50,48,0.040000000000000036,479.5208333333333,389.5,529.32
500,LORD++,0.01,0,23350,23146,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,351.32,320.0,351.32
500,LORD++,0.05,0,23344,23167,52,2,50,0.038461538461538464,8.632969309794104e-05,0.0425531914893617,0.0425531914893617,0.000851063829787234,1175000.0,50,50,0.0,297.32,279.5,297.32
500,LORD++,0.1,0,23341,23177,53,3,50,0.05660377358490566,0.00012943866764464771,0.06382978723404255,0.06382978723404255,0.001276595744680851,783333.3333333334,50,50,0.0,271.32,263.0,271.32
500,LORD++,0.2,0,23329,23177,57,7,50,0.12280701754385964,0.0003020235578375113,0.14893617021276595,0.10638297872340426,0.0029787234042553193,335714.28571428574,50,50,0.0,247.32,230.5,247.32
500,uncorrected,0.0001,0,23341,23191,53,3,50,0.05660377358490566,0.00012936052779095338,0.06382978723404255,0.06382978723404255,0.001276595744680851,783333.3333333334,50,50,0.0,243.32,244.0,243.32
500,uncorrected,0.001,0,23318,23196,61,11,50,0.18032786885245902,0.00047421969305052594,0.23404255319148937,0.23404255319148937,0.004680851063829788,213636.36363636365,50,50,0.0,187.32,190.0,187.32
500,uncorrected,0.01,0,23071,22968,146,96,50,0.6575342465753424,0.0041797283176593526,2.0425531914893615,0.6595744680851063,0.04085106382978723,24479.166666666668,50,50,0.0,155.32,147.5,155.32
500,uncorrected,0.05,0,22322,22236,398,348,50,0.8743718592964824,0.015650296815974095,7.404255319148936,0.9148936170212766,0.14808510638297873,6752.873563218391,50,50,0.0,125.32,120.0,125.32
500,uncorrected,0.1,0,21472,21391,690,640,50,0.927536231884058,0.029919124865597682,13.617021276595745,0.9574468085106383,0.2723404255319149,3671.875,50,50,0.0,119.32,109.5,119.32
500,uncorrected,0.2,0,19752,19679,1275,1225,50,0.9607843137254902,0.06224909802327354,26.06382978723404,1.0,0.5212765957446809,1918.3673469387754,50,50,0.0,113.32,107.0,113.32
500,bh_window,0.0001,0,23359,23037,47,0,47,0.0,0.0,0.0,0.0,0.0,inf,50,47,0.06000000000000005,529.9574468085107,383.0,587.32
500,bh_window,0.001,0,23347,23143,51,1,50,0.0196078431372549,4.320960981722335e-05,0.02127659574468085,0.02127659574468085,0.000425531914893617,2350000.0,50,50,0.0,351.32,303.5,351.32
500,bh_window,0.01,0,23344,23180,52,2,50,0.038461538461538464,8.628127696289905e-05,0.0425531914893617,0.0425531914893617,0.000851063829787234,1175000.0,50,50,0.0,271.32,263.0,271.32
500,bh_window,0.05,0,23338,23202,54,4,50,0.07407407407407407,0.000172398931126627,0.0851063829787234,0.0851063829787234,0.001702127659574468,587500.0,50,50,0.0,215.32,209.0,215.32
500,bh_window,0.1,0,23335,23206,55,5,50,0.09090909090909091,0.0002154615185727829,0.10638297872340426,0.10638297872340426,0.002127659574468085,470000.0,50,50,0.0,201.32,199.0,201.32
500,bh_window,0.2,0,23218,23101,94,44,50,0.46808510638297873,0.0019046794511060126,0.9361702127659575,0.1276595744680851,0.01872340425531915,53409.09090909091,50,50,0.0,177.32,181.0,177.32
500,LOND,0.0001,0,23450,22512,18,0,18,0.0,0.0,0.0,0.0,0.0,inf,50,18,0.64,1070.388888888889,881.5,1819.32
500,LOND,0.001,0,23393,22779,36,0,36,0.0,0.0,0.0,0.0,0.0,inf,50,36,0.28,769.6111111111111,503.5,1171.32
500,LOND,0.01,0,23365,22986,45,0,45,0.0,0.0,0.0,0.0,0.0,inf,50,45,0.09999999999999998,533.6,383.0,701.32
500,LOND,0.05,0,23353,23105,49,0,49,0.0,0.0,0.0,0.0,0.0,inf,50,49,0.020000000000000018,408.9387755102041,354.0,439.32
500,LOND,0.1,0,23350,23139,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,365.32,329.5,365.32
500,LOND,0.2,0,23347,23154,51,1,50,0.0196078431372549,4.3189081800120926e-05,0.02127659574468085,0.02127659574468085,0.000425531914893617,2350000.0,50,50,0.0,329.32,296.5,329.32
500,bonferroni,0.0001,0,23376,22940,42,0,42,0.0,0.0,0.0,0.0,0.0,inf,50,42,0.16000000000000003,531.4761904761905,429.0,815.32
500,bonferroni,0.001,0,23356,23099,48,0,48,0.0,0.0,0.0,0.0,0.0,inf,50,48,0.040000000000000036,404.5208333333333,351.5,457.32
500,bonferroni,0.01,0,23344,23166,52,2,50,0.038461538461538464,8.6333419666753e-05,0.0425531914893617,0.0425531914893617,0.000851063829787234,1175000.0,50,50,0.0,299.32,285.5,299.32
500,bonferroni,0.05,0,23341,23191,53,3,50,0.05660377358490566,0.00012936052779095338,0.06382978723404255,0.06382978723404255,0.001276595744680851,783333.3333333334,50,50,0.0,243.32,244.0,243.32
500,bonferroni,0.1,0,23341,23200,53,3,50,0.05660377358490566,0.0001293103448275862,0.06382978723404255,0.06382978723404255,0.001276595744680851,783333.3333333334,50,50,0.0,225.32,220.5,225.32
500,bonferroni,0.2,0,23332,23202,56,6,50,0.10714285714285714,0.0002585983966899405,0.1276595744680851,0.1276595744680851,0.002553191489361702,391666.6666666667,50,50,0.0,203.32,201.0,203.32
500,LORD++,0.0001,2,23392,22858,36,0,36,0.0,0.0,0.0,0.0,0.0,inf,50,36,0.28,653.1666666666666,451.0,1020.48
500,LORD++,0.001,2,23359,23076,47,0,47,0.0,0.0,0.0,0.0,0.0,inf,50,47,0.06000000000000005,447.78723404255317,359.0,518.48
500,LORD++,0.01,2,23350,23164,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,324.48,315.5,324.48
500,LORD++,0.05,2,23350,23186,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,280.48,263.0,280.48
500,LORD++,0.1,2,23341,23192,53,3,50,0.05660377358490566,0.00012935494998275268,0.06382978723404255,0.06382978723404255,0.001276595744680851,783333.3333333334,50,50,0.0,250.48,253.0,250.48
500,LORD++,0.2,2,23332,23188,56,6,50,0.10714285714285714,0.00025875452820424356,0.1276595744680851,0.1276595744680851,0.002553191489361702,391666.6666666667,50,50,0.0,240.48,251.0,240.48
500,uncorrected,0.0001,2,23350,23203,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,246.48,252.0,246.48
500,uncorrected,0.001,2,23312,23199,66,16,50,0.24242424242424243,0.000689684900211216,0.3404255319148936,0.2765957446808511,0.006808510638297872,146875.0,50,50,0.0,178.48,175.0,178.48
500,uncorrected,0.01,2,23018,22922,171,121,50,0.7076023391812866,0.005278771485908734,2.574468085106383,0.6808510638297872,0.05148936170212766,19421.487603305784,50,50,0.0,150.48,150.5,150.48
500,uncorrected,0.05,2,22294,22218,427,377,50,0.882903981264637,0.016968223962552886,8.02127659574468,0.851063829787234,0.16042553191489362,6233.42175066313,50,50,0.0,104.48,104.5,104.48
500,uncorrected,0.1,2,21311,21241,774,724,50,0.9354005167958657,0.034085024245562826,15.404255319148936,0.8936170212765957,0.3080851063829787,3245.8563535911603,50,50,0.0,110.48,100.0,110.48
500,uncorrected,0.2,2,19393,19327,1431,1381,50,0.9650593990216632,0.07145444197237026,29.382978723404257,1.0,0.5876595744680851,1701.6654598117307,50,50,0.0,116.48,95.5,116.48
