n_streams,procedure,alpha,false_alarms_per_1k_stream_steps,degraded_per_drift,fdp,mdr,mean_delay
10,LOND,0.0001,0.0,1065.3333333333333,0.0,0.3333333333333333,404.5
10,LOND,0.001,0.0,598.6666666666666,0.0,0.16666666666666666,420.8
10,LOND,0.01,0.0,465.3333333333333,0.0,0.0,465.3333333333333
10,LOND,0.05,0.0,282.0,0.0,0.0,282.0
10,LOND,0.1,0.0,282.0,0.0,0.0,282.0
10,LOND,0.2,0.0,248.66666666666666,0.0,0.0,248.66666666666666
10,LORD++,0.0001,0.0,1448.6666666666667,0.0,0.5,670.0
10,LORD++,0.001,0.0,1032.0,0.0,0.3333333333333333,354.5
10,LORD++,0.01,0.0,532.0,0.0,0.16666666666666666,340.8
10,LORD++,0.05,0.0,448.6666666666667,0.0,0.0,448.6666666666667
10,LORD++,0.1,0.0035460992907801418,282.0,0.08333333333333333,0.0,282.0
10,LORD++,0.2,0.0035460992907801418,282.0,0.08333333333333333,0.0,282.0
10,bh_window,0.0001,0.0,282.0,0.0,0.0,282.0
10,bh_window,0.001,0.0035460992907801418,248.66666666666666,0.08333333333333333,0.0,248.66666666666666
10,bh_window,0.01,0.017730496453900707,165.33333333333334,0.2916666666666667,0.0,165.33333333333334
10,bh_window,0.05,0.04964539007092198,148.66666666666666,0.5777777777777778,0.0,148.66666666666666
10,bh_window,0.1,0.0851063829787234,148.66666666666666,0.7498015873015872,0.0,148.66666666666666
10,bh_window,0.2,0.1276595744680851,132.0,0.8413299663299663,0.0,132.0
10,bonferroni,0.0001,0.0,282.0,0.0,0.0,282.0
10,bonferroni,0.001,0.0035460992907801418,248.66666666666666,0.08333333333333333,0.0,248.66666666666666
10,bonferroni,0.01,0.017730496453900707,165.33333333333334,0.2916666666666667,0.0,165.33333333333334
10,bonferroni,0.05,0.0425531914893617,148.66666666666666,0.5638888888888889,0.0,148.66666666666666
10,bonferroni,0.1,0.08156028368794326,148.66666666666666,0.7458333333333332,0.0,148.66666666666666
10,bonferroni,0.2,0.10283687943262411,132.0,0.8023148148148148,0.0,132.0
10,uncorrected,0.0001,0.0035460992907801418,248.66666666666666,0.08333333333333333,0.0,248.66666666666666
10,uncorrected,0.001,0.017730496453900707,165.33333333333334,0.2916666666666667,0.0,165.33333333333334
10,uncorrected,0.01,0.07446808510638298,148.66666666666666,0.7388888888888889,0.0,148.66666666666666
10,uncorrected,0.05,0.1631205673758865,132.0,0.8735449735449735,0.0,132.0
10,uncorrected,0.1,0.2978723404255319,98.66666666666667,0.9283185260158944,0.0,98.66666666666667
10,uncorrected,0.2,0.5673758865248227,98.66666666666667,0.9626661181009007,0.0,98.66666666666667
100,LOND,0.0001,0.0,1659.1666666666667,0.0,0.6333333333333333,652.2916666666666
100,LOND,0.001,0.0,1334.1666666666667,0.0,0.39999999999999997,607.7472222222223
100,LOND,0.01,0.0,737.5,0.0,0.13333333333333333,526.7589947089947
100,LOND,0.05,0.0,570.8333333333334,0.0,0.09999999999999999,387.0314814814815
100,LOND,0.1,0.0,489.1666666666667,0.0,0.04999999999999999,374.65787037037035
100,LOND,0.2,0.0,394.1666666666667,0.0,0.016666666666666663,362.70185185185187
100,LORD++,0.0001,0.0,1389.1666666666667,0.0,0.39999999999999997,755.5154761904763
100,LORD++,0.001,0.0,754.1666666666666,0.0,0.11666666666666668,596.1822751322751
100,LORD++,0.01,0.0,477.5,0.0,0.033333333333333326,458.5314814814815
100,LORD++,0.05,0.0010638297872340426,359.1666666666667,0.04292929292929293,0.0,359.1666666666667
100,LORD++,0.1,0.003900709219858156,332.5,0.1067251461988304,0.0,332.5
100,LORD++,0.2,0.008156028368794326,277.5,0.18644781144781145,0.0,277.5
100,bh_window,0.0001,0.0,620.8333333333334,0.0,0.09999999999999999,438.3277777777778
100,bh_window,0.001,0.0,339.1666666666667,0.0,0.0,339.1666666666667
100,bh_window,0.01,0.002127659574468085,244.16666666666666,0.08139083139083139,0.0,244.16666666666666
100,bh_window,0.05,0.006382978723404255,212.5,0.15083527583527587,0.0,212.5
100,bh_window,0.1,0.019858156028368795,195.83333333333334,0.29365079365079366,0.0,195.83333333333334
100,bh_window,0.2,0.046808510638297864,194.16666666666666,0.4501358260949054,0.0,194.16666666666666
100,bonferroni,0.0001,0.0,707.5,0.0,0.13333333333333333,489.6161375661375
100,bonferroni,0.001,0.0,419.1666666666667,0.0,0.033333333333333326,354.20416666666665
100,bonferroni,0.01,0.0007092198581560284,252.5,0.030303030303030304,0.0,252.5
100,bonferroni,0.05,0.0035460992907801418,219.16666666666666,0.11611305361305362,0.0,219.16666666666666
100,bonferroni,0.1,0.006382978723404255,200.83333333333334,0.18437666135034556,0.0,200.83333333333334
100,bonferroni,0.2,0.012411347517730495,189.16666666666666,0.2786130536130536,0.0,189.16666666666666
100,uncorrected,0.0001,0.0007092198581560284,252.5,0.030303030303030304,0.0,252.5
100,uncorrected,0.001,0.006382978723404255,200.83333333333334,0.18437666135034556,0.0,200.83333333333334
100,uncorrected,0.01,0.04680851063829788,152.5,0.5932858564437512,0.0,152.5
100,uncorrected,0.05,0.13156028368794326,134.16666666666666,0.8351749869443933,0.0,134.16666666666666
100,uncorrected,0.1,0.2453900709219858,122.5,0.9103800891453687,0.0,122.5
100,uncorrected,0.2,0.4705673758865248,122.5,0.9549280255513036,0.0,122.5
500,LOND,0.0001,0.0,1818.993333333333,0.0,0.73,911.6200716845879
500,LOND,0.001,0.0,1407.993333333333,0.0,0.47333333333333333,767.704785029785
500,LOND,0.01,0.0,940.3266666666667,0.0,0.2133333333333333,638.8616005291005
500,LOND,0.05,0.0,617.66,0.0,0.08,487.98317483087675
500,LOND,0.1,0.0,504.32666666666665,0.0,0.03000000000000001,455.3760623319095
500,LOND,0.2,7.092198581560284e-05,427.66,0.0032679738562091504,0.01666666666666668,401.1053857287596
500,LORD++,0.0001,0.0,1247.66,0.0,0.4033333333333333,736.1946269727403
500,LORD++,0.001,0.0,745.9933333333333,0.0,0.10333333333333337,615.5498512824089
500,LORD++,0.01,7.092198581560284e-05,435.66,0.0032679738562091504,0.010000000000000009,420.5480839002268
500,LORD++,0.05,0.000851063829787234,323.99333333333334,0.034188034188034185,0.0,323.99333333333334
500,LORD++,0.1,0.0016312056737588655,289.32666666666665,0.06476022012578617,0.0,289.32666666666665
500,LORD++,0.2,0.008226950354609928,266.32666666666665,0.1690391369236952,0.0,266.32666666666665
500,bh_window,0.0001,0.0,814.66,0.0,0.15000000000000002,608.6371023395083
500,bh_window,0.001,7.092198581560284e-05,460.99333333333334,0.0032679738562091504,0.03333333333333335,411.8351388888889
500,bh_window,0.01,0.0006382978723404255,289.32666666666665,0.027535373123608417,0.0,289.32666666666665
500,bh_window,0.05,0.007375886524822695,236.99333333333334,0.14491237708528878,0.0,236.99333333333334
500,bh_window,0.1,0.010212765957446808,227.66,0.18277632104572336,0.006666666666666672,216.30278911564628
500,bh_window,0.2,0.04184397163120568,219.66,0.42468971065057176,0.010000000000000009,202.52437358276643
500,bonferroni,0.0001,0.0,1030.3266666666666,0.0,0.2866666666666667,596.4989302967564
500,bonferroni,0.001,0.0,618.3266666666667,0.0,0.09666666666666668,451.48320852684986
500,bonferroni,0.01,0.0002127659574468085,350.66,0.009678230266465561,0.013333333333333345,326.8460515269938
500,bonferroni,0.05,0.000851063829787234,263.66,0.03569044186748652,0.0,263.66
500,bonferroni,0.1,0.0016312056737588655,239.99333333333334,0.06464823102008636,0.0,239.99333333333334
500,bonferroni,0.2,0.003049645390070922,226.66,0.11322136656822256,0.003333333333333336,218.88802721088436
500,uncorrected,0.0001,0.000851063829787234,264.66,0.03569044186748652,0.0,264.66
500,uncorrected,0.001,0.006312056737588653,197.99333333333334,0.18847630607670426,0.0,197.99333333333334
500,uncorrected,0.01,0.04134751773049645,159.32666666666668,0.5493073588071343,0.0,159.32666666666668
500,uncorrected,0.05,0.13134751773049644,131.32666666666668,0.8140164676430395,0.0,131.32666666666668
500,uncorrected,0.1,0.23411347517730496,118.99333333333334,0.8965997833358066,0.0,118.99333333333334
500,uncorrected,0.2,0.47219858156028377,124.99333333333334,0.9532014930858038,0.0,124.99333333333334
