n_streams,scenario,procedure,budget,degraded_per_drift,alpha,vs_fixed_threshold
100,1 event,BatchBH,0.001,372.6666666666667,0.2,0.7316753926701571
100,1 event,BatchBH,0.01,372.6666666666667,0.2,1.7319907048799381
100,1 event,LORD++,0.001,311.8333333333333,0.05,0.6122382198952879
100,1 event,LORD++,0.01,261.8333333333333,0.2,1.2168861347792408
100,1 event,bh_window,0.001,401.0,0.001,0.787303664921466
100,1 event,bh_window,0.01,167.66666666666666,0.05,0.7792408985282726
100,1 event,bonferroni,0.001,504.3333333333333,0.001,0.9901832460732984
100,1 event,bonferroni,0.01,212.66666666666666,0.2,0.9883810999225406
100,1 event,storey_bh,0.001,611.8333333333334,0.0001,1.2012434554973823
100,1 event,storey_bh,0.01,236.0,0.01,1.0968241673121613
100,1 event,uncorrected,0.001,509.3333333333333,1e-05,1.0
100,1 event,uncorrected,0.01,215.16666666666666,0.001,1.0
100,2 events,BatchBH,0.001,294.8333333333333,0.2,0.7252972529725297
100,2 events,BatchBH,0.01,294.8333333333333,0.2,1.3113417346182357
100,2 events,LORD++,0.001,361.5,0.01,0.8892988929889298
100,2 events,LORD++,0.01,229.0,0.2,1.0185322461082282
100,2 events,bh_window,0.001,337.3333333333333,0.001,0.8298482984829848
100,2 events,bh_window,0.01,183.16666666666666,0.05,0.8146775389177168
100,2 events,bonferroni,0.001,401.5,0.001,0.9876998769987699
100,2 events,bonferroni,0.01,209.0,0.2,0.9295774647887324
100,2 events,storey_bh,0.001,296.5,0.001,0.7293972939729397
100,2 events,storey_bh,0.01,241.5,0.01,1.0741289844329132
100,2 events,uncorrected,0.001,406.5,1e-05,1.0
100,2 events,uncorrected,0.01,224.83333333333334,0.001,1.0
100,sporadic,BatchBH,0.001,350.9916666666666,0.2,1.319558883423666
100,sporadic,BatchBH,0.01,350.9916666666666,0.2,1.7248454072648345
100,sporadic,LORD++,0.001,429.325,0.01,1.614054325010182
100,sporadic,LORD++,0.01,257.65833333333336,0.2,1.2661861665096852
100,sporadic,bh_window,0.001,414.325,0.001,1.557661580876594
100,sporadic,bh_window,0.01,213.49166666666667,0.05,1.0491420615094804
100,sporadic,bonferroni,0.001,265.9916666666667,0.01,1.0
100,sporadic,bonferroni,0.01,203.49166666666667,0.1,1.0
100,sporadic,storey_bh,0.001,389.325,0.001,1.4636736739872802
100,sporadic,storey_bh,0.01,250.15833333333333,0.01,1.2293296203775748
100,sporadic,uncorrected,0.001,265.9916666666667,0.0001,1.0
100,sporadic,uncorrected,0.01,203.49166666666667,0.001,1.0
500,1 event,BatchBH,0.001,355.5,0.2,1.3101965601965604
500,1 event,BatchBH,0.01,355.5,0.2,1.721549636803874
500,1 event,LORD++,0.001,254.16666666666666,0.1,0.9367321867321867
500,1 event,LORD++,0.01,250.83333333333334,0.2,1.2146892655367232
500,1 event,bh_window,0.001,216.5,0.01,0.797911547911548
500,1 event,bh_window,0.01,171.66666666666666,0.05,0.8313155770782888
500,1 event,bonferroni,0.001,246.16666666666666,0.1,0.9072481572481573
500,1 event,bonferroni,0.01,226.66666666666666,0.2,1.0976594027441484
500,1 event,storey_bh,0.001,355.5,0.001,1.3101965601965604
500,1 event,storey_bh,0.01,355.5,0.001,1.721549636803874
500,1 event,uncorrected,0.001,271.3333333333333,0.0001,1.0
500,1 event,uncorrected,0.01,206.5,0.001,1.0
500,2 events,BatchBH,0.001,342.3333333333333,0.2,1.2255369928400954
500,2 events,BatchBH,0.01,342.3333333333333,0.2,1.663157894736842
500,2 events,LORD++,0.001,274.0,0.05,0.9809069212410502
500,2 events,LORD++,0.01,243.66666666666666,0.2,1.1838056680161941
500,2 events,bh_window,0.001,234.66666666666666,0.01,0.8400954653937948
500,2 events,bh_window,0.01,194.33333333333334,0.05,0.9441295546558705
500,2 events,bonferroni,0.001,276.6666666666667,0.05,0.9904534606205252
500,2 events,bonferroni,0.01,230.66666666666666,0.2,1.120647773279352
500,2 events,storey_bh,0.001,388.6666666666667,0.001,1.3914081145584727
500,2 events,storey_bh,0.01,388.6666666666667,0.001,1.888259109311741
500,2 events,uncorrected,0.001,279.3333333333333,0.0001,1.0
500,2 events,uncorrected,0.01,205.83333333333334,0.001,1.0
500,sporadic,BatchBH,0.001,374.8666666666666,0.1,1.4144132813482577
500,sporadic,BatchBH,0.01,317.8666666666667,0.2,1.6010745466756213
500,sporadic,LORD++,0.001,346.7,0.01,1.3081373412149413
500,sporadic,LORD++,0.01,228.86666666666667,0.2,1.1527871054398926
500,sporadic,bh_window,0.001,265.53333333333336,0.01,1.0018865551502956
500,sporadic,bh_window,0.01,218.70000000000002,0.05,1.1015782404298187
500,sporadic,bonferroni,0.001,242.86666666666667,0.1,0.9163627216702301
500,sporadic,bonferroni,0.01,217.36666666666667,0.2,1.0948623237071862
500,sporadic,storey_bh,0.001,375.8666666666666,0.001,1.4181863916488489
500,sporadic,storey_bh,0.01,271.03333333333336,0.01,1.3651779717931498
500,sporadic,uncorrected,0.001,265.03333333333336,0.0001,1.0
500,sporadic,uncorrected,0.01,198.53333333333333,0.001,1.0
