window,min_p,n_below,n_streams,rho,seed
0,0.004614832707183201,9,500,0.0,0
1,0.005281371106708496,8,500,0.0,0
2,0.0025196415774341144,8,500,0.0,0
3,0.000640710155032767,7,500,0.0,0
4,0.0005737352192380696,8,500,0.0,0
5,6.757741781304609e-05,3,500,0.0,0
6,0.00011222472954580128,3,500,0.0,0
7,0.0009202245910073905,4,500,0.0,0
8,0.003845626731211715,7,500,0.0,0
9,0.002341149935098205,4,500,0.0,0
10,0.003691848279041631,5,500,0.0,0
11,0.0007985359158783996,6,500,0.0,0
12,4.16047285021472e-05,4,500,0.0,0
13,6.099142027373583e-05,3,500,0.0,0
14,3.530469971726395e-05,3,500,0.0,0
15,0.0002997211066933983,5,500,0.0,0
16,0.00024939464402150865,6,500,0.0,0
17,0.00022545366740708085,6,500,0.0,0
18,0.0003403121710638381,8,500,0.0,0
19,0.0004963713840019075,10,500,0.0,0
20,0.001394928978409503,10,500,0.0,0
21,0.0014472504541368056,7,500,0.0,0
22,0.0009006078582319912,7,500,0.0,0
23,0.0009617445889067458,7,500,0.0,0
24,0.001200222316971102,9,500,0.0,0
25,0.00043735916635276995,11,500,0.0,0
26,0.0012096464178934635,7,500,0.0,0
27,0.0004275780985194889,8,500,0.0,0
28,0.0008320792240910547,5,500,0.0,0
29,0.0005546285314117698,5,500,0.0,0
30,0.0007711747272462278,6,500,0.0,0
31,0.0009421833933087449,15,500,0.0,0
32,0.0011413445673988446,13,500,0.0,0
33,0.0008329809216354189,8,500,0.0,0
34,0.0007983995078033485,4,500,0.0,0
35,0.0006024738345555736,5,500,0.0,0
36,0.0008310108680019843,7,500,0.0,0
37,0.00020937040762365706,8,500,0.0,0
38,5.440794916551093e-05,7,500,0.0,0
39,0.00013031965108955244,8,500,0.0,0
40,0.0002509311934200701,9,500,0.0,0
41,0.00010676610185773805,5,500,0.0,0
42,0.00043651178923758793,5,500,0.0,0
43,0.0008010788597715896,5,500,0.0,0
44,0.0005942132571173233,2,500,0.0,0
45,0.0019525719897661613,4,500,0.0,0
46,0.0019650357325274315,5,500,0.0,0
0,0.0065922251098797435,2,500,0.0,2
1,0.00017549910583872458,6,500,0.0,2
2,0.0002699588055378914,11,500,0.0,2
3,0.0014542894824182368,8,500,0.0,2
4,0.00183292403835813,8,500,0.0,2
5,0.0006829493224662538,9,500,0.0,2
6,0.0004976997214771727,7,500,0.0,2
7,0.0006782551688173749,7,500,0.0,2
8,0.0008113118580802066,6,500,0.0,2
9,0.002209991883931712,8,500,0.0,2
10,0.0018132356182688388,12,500,0.0,2
11,0.0024026919994592825,11,500,0.0,2
12,0.0022085689466306616,8,500,0.0,2
13,0.0017287411038489694,10,500,0.0,2
14,0.00040762103081550774,10,500,0.0,2
15,0.00034344544971648037,10,500,0.0,2
16,0.0001908698036182431,8,500,0.0,2
17,0.0003255228076649978,4,500,0.0,2
18,0.00022217936679087624,11,500,0.0,2
19,0.00014244930014043066,8,500,0.0,2
20,0.00021166495077805806,9,500,0.0,2
21,0.0006595342315561406,9,500,0.0,2
22,0.0003075307872726747,10,500,0.0,2
23,0.0009798081886911265,8,500,0.0,2
24,0.001774834837250089,10,500,0.0,2
25,0.0023654275355446284,6,500,0.0,2
26,0.0019464564743547478,7,500,0.0,2
27,0.0012449077385558785,7,500,0.0,2
28,0.0010035756516649126,6,500,0.0,2
29,0.0006223319395332628,4,500,0.0,2
30,0.001461601840457682,8,500,0.0,2
31,0.002748520572216072,4,500,0.0,2
32,0.0003957585709051123,6,500,0.0,2
33,0.00039115255337500557,6,500,0.0,2
34,0.0009029961191020187,5,500,0.0,2
