part,phi,detector,method,n_tests,far@0.05,far@0.01,far@0.001,far@0.0001
A,0.5,PH,sieve,20000.0,0.0569,0.0131,0.00085,5e-05
A,0.5,PH,sieve_pu,20000.0,0.057,0.01155,0.0006,0.0
A,0.5,KS,sieve,20000.0,0.06255,0.0155,0.00135,0.0
A,0.5,ADWIN,sieve,20000.0,0.07945,0.02395,0.00375,0.00065
A,0.5,ADWIN,sieve_pu,20000.0,0.07465,0.01985,0.003,0.00055
A,0.5,KS,sieve_pu,20000.0,0.06495,0.01545,0.00175,0.0003
A,0.8,PH,sieve,20000.0,0.0617,0.0145,0.00195,0.0004
A,0.8,PH,sieve_pu,20000.0,0.0644,0.013,0.0016,0.00045
A,0.8,KS,sieve,20000.0,0.06985,0.0202,0.00195,0.0001
A,0.8,KS,sieve_pu,20000.0,0.07325,0.0202,0.00175,0.0
A,0.8,ADWIN,sieve,20000.0,0.0881,0.03005,0.00715,0.00175
A,0.8,ADWIN,sieve_pu,20000.0,0.08825,0.0261,0.005,0.0008
