part,detector,method,seed,n_streams,fwer,n_windows
B,PH,sieve,0.0,100.0,0.0,47.0
B,PH,sieve,1.0,100.0,0.0,47.0
B,PH,sieve,2.0,100.0,0.2553191489361702,47.0
B,PH,sieve,3.0,100.0,0.44680851063829785,47.0
B,PH,sieve,4.0,100.0,0.1276595744680851,47.0
B,PH,sieve,5.0,100.0,0.02127659574468085,47.0
B,PH,sieve,6.0,100.0,0.0,47.0
B,PH,sieve,7.0,100.0,0.0,47.0
B,PH,sieve,8.0,100.0,0.19148936170212766,47.0
B,PH,sieve,9.0,100.0,0.0,47.0
B,PH,sieve,10.0,100.0,0.02127659574468085,47.0
B,PH,sieve,11.0,100.0,0.0425531914893617,47.0
B,PH,sieve,12.0,100.0,0.19148936170212766,47.0
B,PH,sieve,13.0,100.0,0.0,47.0
B,PH,sieve,14.0,100.0,0.02127659574468085,47.0
B,PH,sieve,15.0,100.0,0.02127659574468085,47.0
B,PH,sieve,16.0,100.0,0.1702127659574468,47.0
B,PH,sieve,17.0,100.0,0.0,47.0
B,PH,sieve,18.0,100.0,0.1276595744680851,47.0
B,PH,sieve,19.0,100.0,0.3829787234042553,47.0
B,PH,sieve,20.0,100.0,0.10638297872340426,47.0
B,PH,sieve,21.0,100.0,0.0851063829787234,47.0
B,PH,sieve,22.0,100.0,0.1276595744680851,47.0
B,PH,sieve,23.0,100.0,0.14893617021276595,47.0
B,PH,sieve,24.0,100.0,0.3191489361702128,47.0
B,PH,sieve,25.0,100.0,0.02127659574468085,47.0
B,PH,sieve,26.0,100.0,0.02127659574468085,47.0
B,PH,sieve,27.0,100.0,0.02127659574468085,47.0
B,PH,sieve,28.0,100.0,0.0,47.0
B,PH,sieve,29.0,100.0,0.06382978723404255,47.0
B,PH,sieve,30.0,100.0,0.14893617021276595,47.0
B,PH,sieve,31.0,100.0,0.1702127659574468,47.0
B,PH,sieve,32.0,100.0,0.02127659574468085,47.0
B,PH,sieve,33.0,100.0,0.0,47.0
B,PH,sieve,34.0,100.0,0.06382978723404255,47.0
B,PH,sieve,35.0,100.0,0.0,47.0
B,PH,sieve,36.0,100.0,0.02127659574468085,47.0
B,PH,sieve,37.0,100.0,0.0,47.0
B,PH,sieve,38.0,100.0,0.10638297872340426,47.0
B,PH,sieve,39.0,100.0,0.1276595744680851,47.0
B,PH,sieve_pu,0.0,100.0,0.0425531914893617,47.0
B,PH,sieve_pu,1.0,100.0,0.0,47.0
B,PH,sieve_pu,2.0,100.0,0.0851063829787234,47.0
B,PH,sieve_pu,3.0,100.0,0.23404255319148937,47.0
B,PH,sieve_pu,5.0,100.0,0.0425531914893617,47.0
B,PH,sieve_pu,4.0,100.0,0.0425531914893617,47.0
B,PH,sieve_pu,6.0,100.0,0.0,47.0
B,PH,sieve_pu,7.0,100.0,0.0,47.0
B,PH,sieve_pu,8.0,100.0,0.0851063829787234,47.0
B,PH,sieve_pu,9.0,100.0,0.0,47.0
B,PH,sieve_pu,10.0,100.0,0.0,47.0
B,PH,sieve_pu,11.0,100.0,0.0,47.0
B,PH,sieve_pu,12.0,100.0,0.19148936170212766,47.0
B,PH,sieve_pu,13.0,100.0,0.0,47.0
B,PH,sieve_pu,14.0,100.0,0.0,47.0
B,PH,sieve_pu,15.0,100.0,0.0,47.0
B,PH,sieve_pu,16.0,100.0,0.1276595744680851,47.0
B,PH,sieve_pu,17.0,100.0,0.0,47.0
B,PH,sieve_pu,18.0,100.0,0.0851063829787234,47.0
B,PH,sieve_pu,19.0,100.0,0.425531914893617,47.0
B,PH,sieve_pu,20.0,100.0,0.14893617021276595,47.0
B,PH,sieve_pu,21.0,100.0,0.06382978723404255,47.0
B,PH,sieve_pu,22.0,100.0,0.2127659574468085,47.0
B,PH,sieve_pu,23.0,100.0,0.2765957446808511,47.0
B,PH,sieve_pu,24.0,100.0,0.1276595744680851,47.0
B,PH,sieve_pu,25.0,100.0,0.0,47.0
B,PH,sieve_pu,26.0,100.0,0.0,47.0
B,PH,sieve_pu,27.0,100.0,0.06382978723404255,47.0
B,PH,sieve_pu,28.0,100.0,0.0,47.0
B,PH,sieve_pu,29.0,100.0,0.1702127659574468,47.0
B,PH,sieve_pu,30.0,100.0,0.1276595744680851,47.0
B,PH,sieve_pu,31.0,100.0,0.06382978723404255,47.0
B,PH,sieve_pu,33.0,100.0,0.0,47.0
B,PH,sieve_pu,32.0,100.0,0.02127659574468085,47.0
B,PH,sieve_pu,34.0,100.0,0.06382978723404255,47.0
B,PH,sieve_pu,35.0,100.0,0.06382978723404255,47.0
B,PH,sieve_pu,36.0,100.0,0.0425531914893617,47.0
B,PH,sieve_pu,37.0,100.0,0.0,47.0
B,PH,sieve_pu,38.0,100.0,0.14893617021276595,47.0
B,PH,sieve_pu,39.0,100.0,0.10638297872340426,47.0
B,ADWIN,sieve,0.0,100.0,0.3404255319148936,47.0
B,ADWIN,sieve,1.0,100.0,0.0425531914893617,47.0
B,ADWIN,sieve,2.0,100.0,0.3617021276595745,47.0
B,ADWIN,sieve,3.0,100.0,0.44680851063829785,47.0
B,ADWIN,sieve,4.0,100.0,0.2765957446808511,47.0
B,ADWIN,sieve,5.0,100.0,0.2765957446808511,47.0
B,ADWIN,sieve,6.0,100.0,0.0851063829787234,47.0
B,ADWIN,sieve,7.0,100.0,0.10638297872340426,47.0
B,ADWIN,sieve,8.0,100.0,0.3191489361702128,47.0
B,ADWIN,sieve,9.0,100.0,0.1702127659574468,47.0
B,ADWIN,sieve,10.0,100.0,0.10638297872340426,47.0
B,ADWIN,sieve,11.0,100.0,0.23404255319148937,47.0
B,ADWIN,sieve,12.0,100.0,0.1276595744680851,47.0
B,ADWIN,sieve,13.0,100.0,0.0425531914893617,47.0
B,ADWIN,sieve,14.0,100.0,0.2127659574468085,47.0
