part,detector,method,magnitude,windows_after_onset,alpha,power
C,PH,sieve,0.5,1.0,0.05,0.306
C,PH,sieve,0.5,1.0,0.001,0.024
C,PH,sieve,0.5,3.0,0.05,0.936
C,PH,sieve,0.5,3.0,0.001,0.346
C,PH,sieve,1.0,1.0,0.05,0.852
C,PH,sieve,1.0,1.0,0.001,0.154
C,PH,sieve,1.0,3.0,0.05,1.0
C,PH,sieve,1.0,3.0,0.001,0.99
C,PH,sieve_pu,0.5,1.0,0.05,0.298
C,PH,sieve_pu,0.5,1.0,0.001,0.012
C,PH,sieve_pu,0.5,3.0,0.05,0.932
C,PH,sieve_pu,0.5,3.0,0.001,0.298
C,PH,sieve_pu,1.0,1.0,0.05,0.868
C,PH,sieve_pu,1.0,1.0,0.001,0.132
C,PH,sieve_pu,1.0,3.0,0.05,1.0
C,PH,sieve_pu,1.0,3.0,0.001,0.988
C,ADWIN,sieve,0.5,1.0,0.05,0.472
C,ADWIN,sieve,0.5,1.0,0.001,0.096
C,ADWIN,sieve,0.5,3.0,0.05,0.914
C,ADWIN,sieve,0.5,3.0,0.001,0.542
C,ADWIN,sieve,1.0,1.0,0.05,0.986
C,ADWIN,sieve,1.0,1.0,0.001,0.82
C,ADWIN,sieve,1.0,3.0,0.05,1.0
C,ADWIN,sieve,1.0,3.0,0.001,1.0
C,ADWIN,sieve_pu,1.0,1.0,0.05,0.984
C,ADWIN,sieve_pu,1.0,1.0,0.001,0.79
C,ADWIN,sieve_pu,1.0,3.0,0.05,1.0
C,ADWIN,sieve_pu,1.0,3.0,0.001,1.0
C,ADWIN,sieve_pu,0.5,1.0,0.05,0.474
C,ADWIN,sieve_pu,0.5,1.0,0.001,0.082
C,ADWIN,sieve_pu,0.5,3.0,0.05,0.908
C,ADWIN,sieve_pu,0.5,3.0,0.001,0.504
C,KS,sieve,0.5,1.0,0.05,0.136
C,KS,sieve,0.5,1.0,0.001,0.008
C,KS,sieve,0.5,3.0,0.05,0.626
C,KS,sieve,0.5,3.0,0.001,0.136
C,KS,sieve,1.0,1.0,0.05,0.288
C,KS,sieve,1.0,1.0,0.001,0.032
C,KS,sieve,1.0,3.0,0.05,0.996
C,KS,sieve,1.0,3.0,0.001,0.778
C,KS,sieve_pu,1.0,1.0,0.05,0.296
C,KS,sieve_pu,1.0,1.0,0.001,0.032
C,KS,sieve_pu,1.0,3.0,0.05,0.996
C,KS,sieve_pu,1.0,3.0,0.001,0.778
C,KS,sieve_pu,0.5,1.0,0.05,0.13
C,KS,sieve_pu,0.5,1.0,0.001,0.012
C,KS,sieve_pu,0.5,3.0,0.05,0.624
C,KS,sieve_pu,0.5,3.0,0.001,0.12
