kind,data,truth,detector,procedure,seed,n_tests,n_null_tests,alarms,false_alarms,true_alarms,fdp,window_fdp,far_per_test,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mtfa_stream_steps,n_drifts,detected,mdr,mean_delay,median_delay,degraded_per_drift
summary,insects,extended,PH,raw,1.0,22026.0,13261.0,913.0,686.0,227.0,0.7513691128148959,0.2213824828370283,0.05173063871502903,1.385858585858586,0.22626262626262628,0.2769032049729555,3611.3702623906706,400.0,263.0,0.3425,1482.8365019011408,102.0,3145.9
summary,insects,documented,PH,raw,1.0,22026.0,13404.0,913.0,779.0,134.0,0.8532311062431545,0.22673573524910426,0.05811698000596837,1.5737373737373737,0.23434343434343435,0.31444256074917254,3180.2310654685493,250.0,170.0,0.31999999999999995,4227.317647058823,460.0,5000.4
summary,insects,extended,PH,uncorrected,1.0,24279.0,8116.0,157.0,20.0,137.0,0.12738853503184713,0.021212121212121213,0.0024642681123706258,0.04040404040404041,0.022222222222222223,0.00807297973682086,123870.0,400.0,137.0,0.6575,137.06569343065692,102.0,4127.2525
summary,insects,documented,PH,uncorrected,1.0,24279.0,8220.0,157.0,73.0,84.0,0.46496815286624205,0.02537878787878788,0.008880778588807786,0.14747474747474748,0.028282828282828285,0.02946637603939614,33936.98630136986,250.0,84.0,0.6639999999999999,2098.714285714286,148.0,6582.144
summary,insects,extended,PH,bonferroni,1.0,24405.0,7717.0,115.0,2.0,113.0,0.017391304347826087,0.0030303030303030303,0.0002591680704937152,0.00404040404040404,0.00404040404040404,0.000807297973682086,1238700.0,400.0,113.0,0.7175,191.32743362831857,148.0,4194.1775
summary,insects,documented,PH,bonferroni,1.0,24405.0,7839.0,115.0,53.0,62.0,0.4608695652173913,0.007575757575757576,0.006761066462559,0.10707070707070707,0.010101010101010102,0.02139339630257528,46743.3962264151,250.0,62.0,0.752,1101.9354838709678,148.0,6681.664
summary,insects,extended,PH,bh_window,1.0,24396.0,7573.0,118.0,1.0,117.0,0.00847457627118644,0.00101010101010101,0.00013204806549584047,0.00202020202020202,0.00202020202020202,0.000403648986841043,2477400.0,400.0,117.0,0.7075,153.2905982905983,102.0,4190.515
summary,insects,documented,PH,bh_window,1.0,24396.0,7673.0,118.0,51.0,67.0,0.4322033898305085,0.0030303030303030303,0.00664668317476867,0.10303030303030303,0.00404040404040404,0.020586098328893195,48576.470588235294,250.0,67.0,0.732,1436.1194029850747,148.0,6684.424
summary,insects,extended,PH,LORD++,1.0,24411.0,7459.0,113.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,400.0,113.0,0.7175,224.08849557522123,202.0,4225.88
summary,insects,documented,PH,LORD++,1.0,24411.0,7614.0,113.0,50.0,63.0,0.4424778761061947,0.00404040404040404,0.006566850538481744,0.10101010101010101,0.00404040404040404,0.020182449342052152,49548.0,250.0,63.0,0.748,1323.6825396825398,148.0,6719.008
summary,insects,extended,PH,raw,2.0,21954.0,13186.0,935.0,692.0,243.0,0.7401069518716578,0.2341756591641649,0.05247990292734719,1.3979797979797979,0.2383838383838384,0.27932509889400176,3580.057803468208,400.0,279.0,0.3025,1697.4086021505377,102.0,3227.385
summary,insects,documented,PH,raw,2.0,21954.0,13330.0,935.0,786.0,149.0,0.8406417112299466,0.24181712745472042,0.05896474118529632,1.587878787878788,0.24848484848484848,0.3172681036570598,3151.908396946565,250.0,185.0,0.26,4846.9405405405405,460.0,5127.68
summary,insects,extended,PH,uncorrected,2.0,24228.0,8311.0,174.0,31.0,143.0,0.1781609195402299,0.028282828282828285,0.0037299963903260737,0.06262626262626263,0.028282828282828285,0.012513118592072334,79916.12903225806,400.0,143.0,0.6425000000000001,113.12587412587412,102.0,4098.895
summary,insects,documented,PH,uncorrected,2.0,24228.0,8416.0,174.0,85.0,89.0,0.4885057471264368,0.032429558745348225,0.010099809885931559,0.1717171717171717,0.03434343434343434,0.03431016388148866,29145.882352941175,250.0,89.0,0.644,2232.224719101124,148.0,6536.552
summary,insects,extended,PH,bonferroni,2.0,24375.0,7992.0,125.0,5.0,120.0,0.04,0.006060606060606061,0.0006256256256256256,0.010101010101010102,0.006060606060606061,0.002018244934205215,495480.0,400.0,120.0,0.7,252.625,148.0,4184.6775
summary,insects,documented,PH,bonferroni,2.0,24375.0,8121.0,125.0,58.0,67.0,0.464,0.010966810966810967,0.007141977588966876,0.11717171717171718,0.012121212121212121,0.023411641236780495,42713.793103448275,250.0,67.0,0.732,1360.0,148.0,6664.024
summary,insects,extended,PH,bh_window,2.0,24366.0,8061.0,128.0,4.0,124.0,0.03125,0.00404040404040404,0.0004962163503287433,0.00808080808080808,0.00404040404040404,0.001614595947364172,619350.0,400.0,124.0,0.69,192.21774193548387,102.0,4163.1075
summary,insects,documented,PH,bh_window,2.0,24366.0,8167.0,128.0,57.0,71.0,0.4453125,0.006464646464646465,0.006979306967062569,0.11515151515151516,0.00808080808080808,0.023007992249939452,43463.15789473684,250.0,71.0,0.716,1500.8450704225352,148.0,6638.712
summary,insects,extended,PH,LORD++,2.0,24384.0,7411.0,122.0,3.0,119.0,0.02459016393442623,0.00202020202020202,0.0004048036702199433,0.006060606060606061,0.00202020202020202,0.001210946960523129,825800.0,400.0,119.0,0.7025,254.21848739495798,202.0,4230.15
summary,insects,documented,PH,LORD++,2.0,24384.0,7562.0,122.0,53.0,69.0,0.4344262295081967,0.006060606060606061,0.007008727849775191,0.10707070707070707,0.006060606060606061,0.02139339630257528,46743.3962264151,250.0,69.0,0.724,1712.3478260869565,148.0,6727.44
summary,insects,extended,PH,raw,0.0,22101.0,12741.0,885.0,661.0,224.0,0.7468926553672316,0.2076388024699664,0.051879758260733065,1.3353535353535353,0.2101010101010101,0.26681198030192943,3747.9576399394855,400.0,256.0,0.36,1692.70703125,102.0,3414.505
summary,insects,documented,PH,raw,0.0,22101.0,12881.0,885.0,751.0,134.0,0.848587570621469,0.21484725058750545,0.05830292679139818,1.5171717171717172,0.2202020202020202,0.3031403891176233,3298.8015978695075,250.0,166.0,0.33599999999999997,4843.542168674699,460.0,5428.504
summary,insects,extended,PH,uncorrected,0.0,24256.0,8378.0,165.0,26.0,139.0,0.15757575757575756,0.030303030303030304,0.0031033659584626403,0.052525252525252523,0.030303030303030304,0.010494873657867118,95284.61538461539,400.0,141.0,0.6475,234.43971631205673,102.0,4092.185
summary,insects,documented,PH,uncorrected,0.0,24256.0,8483.0,165.0,80.0,85.0,0.48484848484848486,0.034449760765550244,0.009430625957797948,0.16161616161616163,0.03636363636363636,0.03229191894728344,30967.5,250.0,87.0,0.652,2390.0689655172414,148.0,6525.816
summary,insects,extended,PH,bonferroni,0.0,24387.0,7643.0,121.0,5.0,116.0,0.04132231404958678,0.00808080808080808,0.0006541933795629988,0.010101010101010102,0.010101010101010102,0.002018244934205215,495480.0,400.0,116.0,0.71,208.55172413793105,148.0,4208.1075
summary,insects,documented,PH,bonferroni,0.0,24387.0,7772.0,121.0,56.0,65.0,0.4628099173553719,0.012626262626262626,0.007205352547606794,0.11313131313131314,0.01616161616161616,0.02260434326309841,44239.28571428572,250.0,65.0,0.74,1381.7230769230769,148.0,6701.152
summary,insects,extended,PH,bh_window,0.0,24381.0,7699.0,123.0,3.0,120.0,0.024390243902439025,0.00404040404040404,0.00038966099493440706,0.006060606060606061,0.00404040404040404,0.001210946960523129,825800.0,400.0,120.0,0.7,151.76666666666668,102.0,4187.7875
summary,insects,documented,PH,bh_window,0.0,24381.0,7801.0,123.0,54.0,69.0,0.43902439024390244,0.006161616161616161,0.006922189462889373,0.10909090909090909,0.00808080808080808,0.021797045289416325,45877.77777777778,250.0,69.0,0.724,1538.4347826086957,148.0,6679.44
summary,insects,extended,PH,LORD++,0.0,24399.0,7377.0,117.0,1.0,116.0,0.008547008547008548,0.00202020202020202,0.00013555645926528398,0.00202020202020202,0.00202020202020202,0.000403648986841043,2477400.0,400.0,116.0,0.71,255.1206896551724,202.0,4244.06
summary,insects,documented,PH,LORD++,0.0,24399.0,7536.0,117.0,51.0,66.0,0.4358974358974359,0.006060606060606061,0.006767515923566879,0.10303030303030303,0.006060606060606061,0.020586098328893195,48576.470588235294,250.0,66.0,0.736,1619.4545454545455,148.0,6746.496
summary,insects,extended,DDM,raw,0.0,24207.0,6547.0,181.0,6.0,175.0,0.03314917127071823,0.010101010101010102,0.0009164502825721705,0.012121212121212121,0.010101010101010102,0.002421893921046258,412900.0,400.0,175.0,0.5625,111.71428571428571,102.0,4384.4375
summary,insects,documented,DDM,raw,0.0,24207.0,6706.0,181.0,81.0,100.0,0.44751381215469616,0.01869605142332415,0.01207873546078139,0.16363636363636364,0.020202020202020204,0.03269556793412449,30585.185185185186,250.0,100.0,0.6,7581.0,8875.0,6975.6
summary,insects,extended,DDM,uncorrected,0.0,23640.0,11923.0,375.0,97.0,278.0,0.25866666666666666,0.08709315375982044,0.008135536358299085,0.19595959595959597,0.09292929292929293,0.039153951723581173,25540.20618556701,400.0,293.0,0.26749999999999996,1307.986348122867,102.0,3718.5725
summary,insects,documented,DDM,uncorrected,0.0,23640.0,12092.0,375.0,177.0,198.0,0.472,0.09559999083808607,0.014637777042672842,0.3575757575757576,0.10505050505050505,0.07144587067086462,13996.610169491525,250.0,213.0,0.14800000000000002,5112.018779342723,2648.0,5907.04
summary,insects,extended,DDM,bonferroni,0.0,24453.0,6603.0,99.0,1.0,98.0,0.010101010101010102,0.00033670033670033666,0.00015144631228229593,0.00202020202020202,0.00202020202020202,0.000403648986841043,2477400.0,400.0,99.0,0.7525,1394.8080808080808,174.0,4726.385
summary,insects,documented,DDM,bonferroni,0.0,24453.0,6748.0,99.0,57.0,42.0,0.5757575757575758,0.008754208754208754,0.008446947243627741,0.11515151515151516,0.014141414141414142,0.023007992249939452,43463.15789473684,250.0,43.0,0.8280000000000001,7918.930232558139,5160.0,7524.896
summary,insects,extended,DDM,bh_window,0.0,23798.0,12708.0,321.0,38.0,283.0,0.11838006230529595,0.01800260671228413,0.0029902423670129055,0.07676767676767676,0.020202020202020204,0.015338661499959634,65194.73684210526,400.0,286.0,0.28500000000000003,740.5034965034965,74.0,3804.875
summary,insects,documented,DDM,bh_window,0.0,23798.0,12909.0,321.0,132.0,189.0,0.411214953271028,0.025807932699428302,0.01022542412270509,0.26666666666666666,0.028282828282828285,0.05328166626301768,18768.18181818182,250.0,192.0,0.23199999999999998,4446.84375,60.0,6034.92
summary,insects,extended,DDM,LORD++,0.0,24050.0,13096.0,234.0,2.0,232.0,0.008547008547008548,0.00202020202020202,0.00015271838729383018,0.00404040404040404,0.00202020202020202,0.000807297973682086,1238700.0,400.0,232.0,0.42000000000000004,859.0431034482758,202.0,3784.7
summary,insects,documented,DDM,LORD++,0.0,24050.0,13383.0,234.0,88.0,146.0,0.37606837606837606,0.009030303030303029,0.006575506239258761,0.17777777777777778,0.010101010101010102,0.03552111084201179,28152.272727272728,250.0,146.0,0.41600000000000004,5969.780821917808,5148.0,5966.8
