part,tolerance,data,procedure,seed,alarms,false_alarms,fdp,window_fdp,power_per_test,n_tests,n_null_tests
B,0.0,insects,uncorrected,2.0,110.0,44.0,0.4,0.043686868686868684,0.10377358490566038,24420.0,23784.0
B,0.0,insects,bonferroni,2.0,84.0,20.0,0.23809523809523808,0.009292929292929292,0.08707482993197278,24498.0,23763.0
B,0.0,insects,bh_window,2.0,85.0,20.0,0.23529411764705882,0.00808080808080808,0.08748317631224764,24495.0,23752.0
B,0.0,insects,LORD++,2.0,80.0,20.0,0.25,0.008706108706108705,0.08241758241758242,24510.0,23782.0
B,0.0,insects,uncorrected,1.0,107.0,41.0,0.38317757009345793,0.04985970819304153,0.10328638497652583,24429.0,23790.0
B,0.0,insects,bonferroni,1.0,81.0,19.0,0.2345679012345679,0.011861471861471863,0.08920863309352518,24507.0,23812.0
B,0.0,insects,bh_window,1.0,84.0,20.0,0.23809523809523808,0.010950777617444285,0.0898876404494382,24498.0,23786.0
B,0.0,insects,LORD++,1.0,85.0,20.0,0.23529411764705882,0.008451178451178452,0.08655126498002663,24495.0,23744.0
B,0.0,insects,uncorrected,0.0,123.0,49.0,0.3983739837398374,0.037710437710437715,0.10437235543018336,24381.0,23672.0
B,0.0,insects,bonferroni,0.0,98.0,24.0,0.24489795918367346,0.01127946127946128,0.09024390243902439,24456.0,23636.0
B,0.0,insects,bh_window,0.0,99.0,24.0,0.24242424242424243,0.007744107744107743,0.09191176470588236,24453.0,23637.0
B,0.0,insects,LORD++,0.0,84.0,21.0,0.25,0.011976911976911978,0.07984790874524715,24498.0,23709.0
B,0.05,insects,uncorrected,0.0,51.0,1.0,0.0196078431372549,0.00202020202020202,0.10020040080160321,24597.0,24098.0
B,0.05,insects,bonferroni,0.0,50.0,0.0,0.0,0.0,0.09940357852882704,24600.0,24097.0
B,0.05,insects,bh_window,0.0,50.0,0.0,0.0,0.0,0.1,24600.0,24100.0
B,0.05,insects,LORD++,0.0,50.0,0.0,0.0,0.0,0.09090909090909091,24600.0,24050.0
B,0.05,insects,uncorrected,1.0,50.0,0.0,0.0,0.0,0.10101010101010101,24600.0,24105.0
B,0.05,insects,bonferroni,1.0,50.0,0.0,0.0,0.0,0.10020040080160321,24600.0,24101.0
B,0.05,insects,bh_window,1.0,50.0,0.0,0.0,0.0,0.10101010101010101,24600.0,24105.0
B,0.05,insects,LORD++,1.0,50.0,0.0,0.0,0.0,0.09174311926605505,24600.0,24055.0
B,0.05,insects,uncorrected,2.0,51.0,1.0,0.0196078431372549,0.00202020202020202,0.09074410163339383,24597.0,24046.0
B,0.05,insects,bonferroni,2.0,51.0,1.0,0.0196078431372549,0.00202020202020202,0.09009009009009009,24597.0,24042.0
B,0.05,insects,bh_window,2.0,51.0,1.0,0.0196078431372549,0.00202020202020202,0.09074410163339383,24597.0,24046.0
B,0.05,insects,LORD++,2.0,51.0,1.0,0.0196078431372549,0.00202020202020202,0.08291873963515754,24597.0,23994.0
B,0.0,elec2,uncorrected,0.0,310.0,177.0,0.5709677419354838,0.09682007575757577,0.07339955849889625,19070.0,17258.0
B,0.0,elec2,bonferroni,0.0,91.0,26.0,0.2857142857142857,0.0028444272445820435,0.0155168297923132,19727.0,15538.0
B,0.0,elec2,bh_window,0.0,121.0,25.0,0.2066115702479339,0.0014204545454545455,0.04878048780487805,19637.0,17669.0
B,0.0,elec2,LORD++,0.0,88.0,25.0,0.2840909090909091,0.0014204545454545455,0.012577360750648832,19736.0,14727.0
B,0.05,elec2,uncorrected,0.0,158.0,51.0,0.3227848101265823,0.033087121212121214,0.0584061135371179,19526.0,17694.0
