data,detector,procedure,seed,alarms,false_alarms,true_alarms,fdp,power_per_test
insects,PH,uncorrected,0,51,1,50,0.0196078431372549,0.10020040080160321
insects,PH,bonferroni,0,50,0,50,0.0,0.09940357852882704
insects,PH,bh_window,0,50,0,50,0.0,0.1
insects,MeanShift(1),uncorrected,0,52,2,50,0.038461538461538464,0.09560229445506692
insects,MeanShift(1),bonferroni,0,50,0,50,0.0,0.1
insects,MeanShift(1),bh_window,0,50,0,50,0.0,0.1
insects,MeanShift(2),uncorrected,0,51,1,50,0.0196078431372549,0.09124087591240876
insects,MeanShift(2),bonferroni,0,50,0,50,0.0,0.09090909090909091
insects,MeanShift(2),bh_window,0,50,0,50,0.0,0.09090909090909091
insects,MeanShift(3),uncorrected,0,51,1,50,0.0196078431372549,0.08347245409015025
insects,MeanShift(3),bonferroni,0,50,0,50,0.0,0.08333333333333333
insects,MeanShift(3),bh_window,0,50,0,50,0.0,0.08333333333333333
insects,MeanShift(5),uncorrected,0,50,0,50,0.0,0.0715307582260372
insects,MeanShift(5),bonferroni,0,50,0,50,0.0,0.07142857142857142
insects,MeanShift(5),bh_window,0,50,0,50,0.0,0.07142857142857142
elec2,PH,uncorrected,0,158,51,107,0.3227848101265823,0.0584061135371179
elec2,PH,bonferroni,0,82,26,56,0.3170731707317073,0.008699704831443219
elec2,PH,bh_window,0,88,25,63,0.2840909090909091,0.016153846153846154
elec2,MeanShift(1),uncorrected,0,242,106,136,0.4380165289256198,0.07249466950959488
elec2,MeanShift(1),bonferroni,0,72,25,47,0.3472222222222222,0.006499792559811921
elec2,MeanShift(1),bh_window,0,118,39,79,0.3305084745762712,0.01849250936329588
elec2,MeanShift(2),uncorrected,0,108,38,70,0.35185185185185186,0.03882418191902385
elec2,MeanShift(2),bonferroni,0,53,25,28,0.4716981132075472,0.003770028275212064
elec2,MeanShift(2),bh_window,0,68,0,68,0.0,0.01436417405999155
elec2,MeanShift(3),uncorrected,0,87,12,75,0.13793103448275862,0.05098572399728076
elec2,MeanShift(3),bonferroni,0,46,14,32,0.30434782608695654,0.006533278889342589
elec2,MeanShift(3),bh_window,0,50,0,50,0.0,0.01763046544428773
elec2,MeanShift(5),uncorrected,0,86,32,54,0.37209302325581395,0.024107142857142858
elec2,MeanShift(5),bonferroni,0,64,0,64,0.0,0.011623683254631312
